InstArgID,NewsID,Dataset
InstArg15201,BuzzfeedNews97,Data1
InstArg15202,BuzzfeedNews137,Data1
InstArg15203,BuzzfeedNews143,Data1
InstArg15204,BuzzfeedNews136,Data1
InstArg15205,BuzzfeedNews106,Data1
InstArg15206,BuzzfeedNews122,Data1
InstArg15207,BuzzfeedNews119,Data1
InstArg15208,BuzzfeedNews139,Data1
InstArg15209,BuzzfeedNews120,Data1
InstArg15210,BuzzfeedNews102,Data1
InstArg15211,BuzzfeedNews174,Data1
InstArg15212,BuzzfeedNews152,Data1
InstArg15213,BuzzfeedNews105,Data1
InstArg15214,BuzzfeedNews93,Data1
InstArg15215,BuzzfeedNews101,Data1
InstArg15216,BuzzfeedNews165,Data1
InstArg15217,BuzzfeedNews182,Data1
InstArg15218,BuzzfeedNews172,Data1
InstArg15219,BuzzfeedNews99,Data1
InstArg15220,BuzzfeedNews158,Data1
InstArg15221,BuzzfeedNews149,Data1
InstArg15222,BuzzfeedNews100,Data1
InstArg15223,BuzzfeedNews92,Data1
InstArg15224,BuzzfeedNews114,Data1
InstArg15225,BuzzfeedNews96,Data1
InstArg15226,BuzzfeedNews124,Data1
InstArg15227,BuzzfeedNews151,Data1
InstArg15228,BuzzfeedNews145,Data1
InstArg15229,BuzzfeedNews109,Data1
InstArg15230,BuzzfeedNews128,Data1
InstArg15231,BuzzfeedNews127,Data1
InstArg15232,BuzzfeedNews154,Data1
InstArg15233,BuzzfeedNews113,Data1
InstArg15234,BuzzfeedNews161,Data1
InstArg15235,BuzzfeedNews134,Data1
InstArg15236,BuzzfeedNews169,Data1
InstArg15237,BuzzfeedNews176,Data1
InstArg15238,BuzzfeedNews162,Data1
InstArg15239,BuzzfeedNews123,Data1
InstArg15240,BuzzfeedNews126,Data1
InstArg15241,BuzzfeedNews141,Data1
InstArg15242,BuzzfeedNews94,Data1
InstArg15243,BuzzfeedNews104,Data1
InstArg15244,BuzzfeedNews173,Data1
InstArg15245,BuzzfeedNews164,Data1
InstArg15246,BuzzfeedNews178,Data1
InstArg15247,BuzzfeedNews175,Data1
InstArg15248,BuzzfeedNews132,Data1
InstArg15249,BuzzfeedNews168,Data1
InstArg15250,BuzzfeedNews163,Data1
InstArg15251,BuzzfeedNews177,Data1
InstArg15252,BuzzfeedNews117,Data1
InstArg15253,BuzzfeedNews129,Data1
InstArg15254,BuzzfeedNews110,Data1
InstArg15255,BuzzfeedNews14,Data1
InstArg15256,BuzzfeedNews24,Data1
InstArg15257,BuzzfeedNews60,Data1
InstArg15258,BuzzfeedNews62,Data1
InstArg15259,BuzzfeedNews21,Data1
InstArg15260,BuzzfeedNews18,Data1
InstArg15261,BuzzfeedNews88,Data1
InstArg15262,BuzzfeedNews46,Data1
InstArg15263,BuzzfeedNews77,Data1
InstArg15264,BuzzfeedNews54,Data1
InstArg15265,BuzzfeedNews73,Data1
InstArg15266,BuzzfeedNews25,Data1
InstArg15267,BuzzfeedNews48,Data1
InstArg15268,BuzzfeedNews17,Data1
InstArg15269,BuzzfeedNews16,Data1
InstArg15270,BuzzfeedNews72,Data1
InstArg15271,BuzzfeedNews84,Data1
InstArg15272,BuzzfeedNews6,Data1
InstArg15273,BuzzfeedNews67,Data1
InstArg15274,BuzzfeedNews66,Data1
InstArg15275,BuzzfeedNews23,Data1
InstArg15276,BuzzfeedNews89,Data1
InstArg15277,BuzzfeedNews3,Data1
InstArg15278,BuzzfeedNews15,Data1
InstArg15279,BuzzfeedNews2,Data1
InstArg15280,BuzzfeedNews32,Data1
InstArg15281,BuzzfeedNews55,Data1
InstArg15282,BuzzfeedNews64,Data1
InstArg15283,BuzzfeedNews90,Data1
InstArg15284,BuzzfeedNews42,Data1
InstArg15285,BuzzfeedNews13,Data1
InstArg15286,BuzzfeedNews7,Data1
InstArg15287,BuzzfeedNews9,Data1
InstArg15288,BuzzfeedNews27,Data1
InstArg15289,BuzzfeedNews68,Data1
InstArg15290,BuzzfeedNews61,Data1
InstArg15291,BuzzfeedNews33,Data1
InstArg15292,BuzzfeedNews8,Data1
InstArg15293,BuzzfeedNews49,Data1
InstArg15294,BuzzfeedNews65,Data1
InstArg15295,BuzzfeedNews69,Data1
InstArg15296,BuzzfeedNews47,Data1
InstArg15297,BuzzfeedNews20,Data1
InstArg15298,BuzzfeedNews86,Data1
InstArg15299,BuzzfeedNews76,Data1
InstArg15300,BuzzfeedNews75,Data1
InstArg15301,BuzzfeedNews19,Data1
InstArg15302,BuzzfeedNews22,Data1
InstArg15303,BuzzfeedNews10,Data1
InstArg15304,BuzzfeedNews43,Data1
InstArg15305,BuzzfeedNews82,Data1
InstArg15306,BuzzfeedNews91,Data1
InstArg15307,BuzzfeedNews11,Data1
InstArg15308,BuzzfeedNews29,Data1
InstArg15309,BuzzfeedNews37,Data1
InstArg15310,BuzzfeedNews79,Data1
InstArg15311,BuzzfeedNews35,Data1
InstArg15312,BuzzfeedNews51,Data1
InstArg15313,BuzzfeedNews81,Data1
InstArg15314,BuzzfeedNews39,Data1
InstArg15315,BuzzfeedNews57,Data1
InstArg15316,BuzzfeedNews70,Data1
InstArg15317,BuzzfeedNews44,Data1
InstArg15318,BuzzfeedNews78,Data1
InstArg15319,BuzzfeedNews26,Data1
InstArg15320,BuzzfeedNews45,Data1
InstArg15321,BuzzfeedNews40,Data1
InstArg15322,BuzzfeedNews53,Data1
InstArg15323,BuzzfeedNews52,Data1
InstArg15324,BuzzfeedNews74,Data1
InstArg15325,BuzzfeedNews58,Data1
InstArg15326,BuzzfeedNews56,Data1
InstArg3197,PolitifactNews163,Data2
InstArg3198,PolitifactNews158,Data2
InstArg3238,PolitifactNews176,Data2
InstArg3239,PolitifactNews182,Data2
InstArg3250,PolitifactNews195,Data2
InstArg3251,PolitifactNews190,Data2
InstArg3336,PolitifactNews227,Data2
InstArg3346,PolitifactNews231,Data2
InstArg3348,PolitifactNews238,Data2
InstArg3349,PolitifactNews237,Data2
InstArg3350,PolitifactNews235,Data2
InstArg11202,PolitifactNews127,Data2
InstArg11317,PolitifactNews89,Data2
InstArg11318,PolitifactNews90,Data2
InstArg11319,PolitifactNews95,Data2
InstArg11320,PolitifactNews96,Data2
InstArg11321,PolitifactNews79,Data2
InstArg11322,PolitifactNews80,Data2
InstArg11323,PolitifactNews83,Data2
InstArg11324,PolitifactNews85,Data2
InstArg11335,PolitifactNews112,Data2
InstArg11336,PolitifactNews114,Data2
InstArg11337,PolitifactNews115,Data2
InstArg11348,PolitifactNews102,Data2
InstArg11349,PolitifactNews104,Data2
InstArg11439,PolitifactNews140,Data2
InstArg11444,PolitifactNews141,Data2
InstArg11576,PolitifactNews45,Data2
InstArg11587,PolitifactNews50,Data2
InstArg11590,PolitifactNews51,Data2
InstArg11593,PolitifactNews30,Data2
InstArg11603,PolitifactNews35,Data2
InstArg11608,PolitifactNews36,Data2
InstArg11611,PolitifactNews38,Data2
InstArg11614,PolitifactNews39,Data2
InstArg11619,PolitifactNews65,Data2
InstArg11627,PolitifactNews74,Data2
InstArg11630,PolitifactNews52,Data2
InstArg11632,PolitifactNews53,Data2
InstArg11636,PolitifactNews57,Data2
InstArg12214,PolitifactNews186,Data2
InstArg12227,PolitifactNews230,Data2
InstArg12375,PolitifactNews1,Data2
InstArg15457,PolitifactNews7,Data2
InstArg15458,PolitifactNews5,Data2
InstArg15459,PolitifactNews4,Data2
InstArg15460,PolitifactNews11,Data2
InstArg15461,PolitifactNews12,Data2
InstArg23744,PolitifactNews240,Data2
InstArg23745,PolitifactNews185,Data2
InstArg23746,PolitifactNews178,Data2
InstArg23747,PolitifactNews170,Data2
InstArg23748,PolitifactNews137,Data2
InstArg23749,PolitifactNews162,Data2
InstArg23750,PolitifactNews219,Data2
InstArg23751,PolitifactNews159,Data2
InstArg23752,PolitifactNews175,Data2
InstArg23753,PolitifactNews169,Data2
InstArg23754,PolitifactNews145,Data2
InstArg23755,PolitifactNews205,Data2
InstArg23756,PolitifactNews130,Data2
InstArg23757,PolitifactNews220,Data2
InstArg23758,PolitifactNews161,Data2
InstArg23759,PolitifactNews172,Data2
InstArg23760,PolitifactNews148,Data2
InstArg23761,PolitifactNews196,Data2
InstArg23762,PolitifactNews184,Data2
InstArg23763,PolitifactNews149,Data2
InstArg23764,PolitifactNews125,Data2
InstArg23765,PolitifactNews197,Data2
InstArg23766,PolitifactNews199,Data2
InstArg23767,PolitifactNews224,Data2
InstArg23768,PolitifactNews174,Data2
InstArg23769,PolitifactNews198,Data2
InstArg23770,PolitifactNews151,Data2
InstArg23771,PolitifactNews144,Data2
InstArg23772,PolitifactNews183,Data2
InstArg23773,PolitifactNews123,Data2
InstArg23774,PolitifactNews168,Data2
InstArg23775,PolitifactNews194,Data2
InstArg23776,PolitifactNews189,Data2
InstArg23777,PolitifactNews126,Data2
InstArg23778,PolitifactNews234,Data2
InstArg23779,PolitifactNews191,Data2
InstArg23780,PolitifactNews165,Data2
InstArg23781,PolitifactNews166,Data2
InstArg23782,PolitifactNews132,Data2
InstArg23783,PolitifactNews180,Data2
InstArg23784,PolitifactNews187,Data2
InstArg23785,PolitifactNews181,Data2
InstArg23786,PolitifactNews164,Data2
InstArg23787,PolitifactNews171,Data2
InstArg23788,PolitifactNews173,Data2
InstArg23789,PolitifactNews209,Data2
InstArg23790,PolitifactNews206,Data2
InstArg23791,PolitifactNews156,Data2
InstArg23792,PolitifactNews154,Data2
InstArg23793,PolitifactNews138,Data2
InstArg23794,PolitifactNews167,Data2
InstArg23795,PolitifactNews216,Data2
InstArg23796,PolitifactNews124,Data2
InstArg23797,PolitifactNews155,Data2
InstArg23798,PolitifactNews153,Data2
InstArg23799,PolitifactNews177,Data2
InstArg23800,PolitifactNews210,Data2
InstArg23801,PolitifactNews203,Data2
InstArg23802,PolitifactNews232,Data2
InstArg23803,PolitifactNews229,Data2
InstArg23804,PolitifactNews134,Data2
InstArg23805,PolitifactNews133,Data2
InstArg23806,PolitifactNews160,Data2
InstArg23807,PolitifactNews188,Data2
InstArg23808,PolitifactNews121,Data2
InstArg23809,PolitifactNews193,Data2
InstArg23810,PolitifactNews192,Data2
InstArg23811,PolitifactNews236,Data2
InstArg23812,PolitifactNews202,Data2
InstArg23813,PolitifactNews214,Data2
InstArg23814,PolitifactNews179,Data2
InstArg23815,PolitifactNews228,Data2
InstArg23816,PolitifactNews223,Data2
InstArg23817,PolitifactNews147,Data2
InstArg23818,PolitifactNews213,Data2
InstArg23819,PolitifactNews129,Data2
InstArg23820,PolitifactNews226,Data2
InstArg23821,PolitifactNews204,Data2
InstArg23822,PolitifactNews136,Data2
InstArg23823,PolitifactNews221,Data2
InstArg23824,PolitifactNews212,Data2
InstArg23825,PolitifactNews225,Data2
InstArg23826,PolitifactNews215,Data2
InstArg23827,PolitifactNews233,Data2
InstArg23828,PolitifactNews142,Data2
InstArg23829,PolitifactNews207,Data2
InstArg23830,PolitifactNews157,Data2
InstArg23831,PolitifactNews135,Data2
InstArg23832,PolitifactNews131,Data2
InstArg23833,PolitifactNews143,Data2
InstArg23834,PolitifactNews211,Data2
InstArg23835,PolitifactNews146,Data2
InstArg23836,PolitifactNews150,Data2
InstArg23837,PolitifactNews200,Data2
InstArg23838,PolitifactNews218,Data2
InstArg23839,PolitifactNews139,Data2
InstArg23840,PolitifactNews239,Data2
InstArg23841,PolitifactNews222,Data2
InstArg23842,PolitifactNews152,Data2
InstArg23843,PolitifactNews201,Data2
InstArg23844,PolitifactNews122,Data2
InstArg23845,PolitifactNews128,Data2
InstArg23846,PolitifactNews217,Data2
InstArg23847,PolitifactNews208,Data2
InstArg23848,PolitifactNews2,Data2
InstArg23849,PolitifactNews3,Data2
InstArg23850,PolitifactNews6,Data2
InstArg23851,PolitifactNews10,Data2
InstArg23852,PolitifactNews9,Data2
InstArg23853,PolitifactNews14,Data2
InstArg23854,PolitifactNews15,Data2
InstArg23855,PolitifactNews16,Data2
InstArg23856,PolitifactNews17,Data2
InstArg23857,PolitifactNews13,Data2
InstArg23858,PolitifactNews18,Data2
InstArg23859,PolitifactNews20,Data2
InstArg23860,PolitifactNews21,Data2
InstArg23861,PolitifactNews19,Data2
InstArg23862,PolitifactNews8,Data2
InstArg23863,PolitifactNews22,Data2
InstArg23864,PolitifactNews24,Data2
InstArg23865,PolitifactNews23,Data2
InstArg23866,PolitifactNews25,Data2
InstArg23867,PolitifactNews28,Data2
InstArg23868,PolitifactNews29,Data2
InstArg23869,PolitifactNews31,Data2
InstArg23870,PolitifactNews27,Data2
InstArg23871,PolitifactNews26,Data2
InstArg23872,PolitifactNews32,Data2
InstArg23873,PolitifactNews34,Data2
InstArg23874,PolitifactNews33,Data2
InstArg23875,PolitifactNews40,Data2
InstArg23876,PolitifactNews41,Data2
InstArg23877,PolitifactNews37,Data2
InstArg23878,PolitifactNews43,Data2
InstArg23879,PolitifactNews44,Data2
InstArg23880,PolitifactNews42,Data2
InstArg23881,PolitifactNews46,Data2
InstArg23882,PolitifactNews48,Data2
InstArg23883,PolitifactNews49,Data2
InstArg23884,PolitifactNews54,Data2
InstArg23885,PolitifactNews47,Data2
InstArg23886,PolitifactNews55,Data2
InstArg23887,PolitifactNews56,Data2
InstArg23888,PolitifactNews58,Data2
InstArg23889,PolitifactNews60,Data2
InstArg23890,PolitifactNews61,Data2
InstArg23891,PolitifactNews67,Data2
InstArg23892,PolitifactNews62,Data2
InstArg23893,PolitifactNews59,Data2
InstArg23894,PolitifactNews63,Data2
InstArg23895,PolitifactNews66,Data2
InstArg23896,PolitifactNews69,Data2
InstArg23897,PolitifactNews71,Data2
InstArg23898,PolitifactNews72,Data2
InstArg23899,PolitifactNews68,Data2
InstArg23900,PolitifactNews64,Data2
InstArg23901,PolitifactNews70,Data2
InstArg23902,PolitifactNews73,Data2
InstArg23903,PolitifactNews75,Data2
InstArg23904,PolitifactNews76,Data2
InstArg23905,PolitifactNews77,Data2
InstArg23906,PolitifactNews78,Data2
InstArg23907,PolitifactNews81,Data2
InstArg23908,PolitifactNews82,Data2
InstArg23909,PolitifactNews84,Data2
InstArg23910,PolitifactNews87,Data2
InstArg23911,PolitifactNews86,Data2
InstArg23912,PolitifactNews92,Data2
InstArg23913,PolitifactNews94,Data2
InstArg23914,PolitifactNews88,Data2
InstArg23915,PolitifactNews91,Data2
InstArg23916,PolitifactNews93,Data2
InstArg23917,PolitifactNews98,Data2
InstArg23918,PolitifactNews100,Data2
InstArg23919,PolitifactNews97,Data2
InstArg23920,PolitifactNews99,Data2
InstArg23921,PolitifactNews103,Data2
InstArg23922,PolitifactNews101,Data2
InstArg23923,PolitifactNews106,Data2
InstArg23924,PolitifactNews109,Data2
InstArg23925,PolitifactNews107,Data2
InstArg23926,PolitifactNews105,Data2
InstArg23927,PolitifactNews110,Data2
InstArg23928,PolitifactNews108,Data2
InstArg23929,PolitifactNews111,Data2
InstArg23930,PolitifactNews113,Data2
InstArg23931,PolitifactNews116,Data2
InstArg23932,PolitifactNews117,Data2
InstArg23933,PolitifactNews118,Data2
InstArg23934,PolitifactNews119,Data2
InstArg23935,PolitifactNews120,Data2
