rva,AtomName,Type,Credibility,lastValue,convergencePoint
https://nobias-project.eu/RandomVariableAtom/RVA8351,FAKENEWS(BuzzFeed_Fake_70),News,NotCredible,0.773,20
https://nobias-project.eu/RandomVariableAtom/RVA8353,FAKENEWS(BuzzFeed_Fake_68),News,NotCredible,0.782,26
https://nobias-project.eu/RandomVariableAtom/RVA755,FAKENEWS(BuzzFeed_Real_36),News,NotCredible,0.73,22
https://nobias-project.eu/RandomVariableAtom/RVA1,USERCREDLAT(10),User,NotCredible,0.031,34
https://nobias-project.eu/RandomVariableAtom/RVA6,USERCREDLAT(14),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA4,USERCREDLAT(16),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA3,USERCREDLAT(17),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA1674,USERCREDLAT(9),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA7,USERCREDLAT(13),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9,USERCREDLAT(11),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA1670,USERCREDLAT(4),User,NotCredible,0.0,7
https://nobias-project.eu/RandomVariableAtom/RVA1671,USERCREDLAT(3),User,NotCredible,0.047,34
https://nobias-project.eu/RandomVariableAtom/RVA1672,USERCREDLAT(2),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10,USERCREDLAT(19),User,NotCredible,0.019,31
https://nobias-project.eu/RandomVariableAtom/RVA8,USERCREDLAT(12),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA11,USERCREDLAT(21),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA5,USERCREDLAT(15),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA34,USERCREDLAT(30),User,Credible,0.962,34
https://nobias-project.eu/RandomVariableAtom/RVA50,USERCREDLAT(33),User,NotCredible,0.486,9
https://nobias-project.eu/RandomVariableAtom/RVA47,USERCREDLAT(36),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA25,USERCREDLAT(26),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA48,USERCREDLAT(35),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA44,USERCREDLAT(38),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA46,USERCREDLAT(37),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA52,USERCREDLAT(42),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA19,USERCREDLAT(29),User,NotCredible,0.062,34
https://nobias-project.eu/RandomVariableAtom/RVA71,USERCREDLAT(48),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA21,USERCREDLAT(28),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA80,USERCREDLAT(44),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA84,USERCREDLAT(51),User,Credible,0.515,27
https://nobias-project.eu/RandomVariableAtom/RVA28,USERCREDLAT(24),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA79,USERCREDLAT(45),User,NotCredible,0.078,33
https://nobias-project.eu/RandomVariableAtom/RVA83,USERCREDLAT(52),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA82,USERCREDLAT(53),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA126,USERCREDLAT(67),User,Credible,0.998,21
https://nobias-project.eu/RandomVariableAtom/RVA98,USERCREDLAT(57),User,NotCredible,0.047,34
https://nobias-project.eu/RandomVariableAtom/RVA123,USERCREDLAT(68),User,NotCredible,0.047,34
https://nobias-project.eu/RandomVariableAtom/RVA136,USERCREDLAT(72),User,NotCredible,0.225,28
https://nobias-project.eu/RandomVariableAtom/RVA134,USERCREDLAT(74),User,NotCredible,0.348,33
https://nobias-project.eu/RandomVariableAtom/RVA133,USERCREDLAT(75),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA161,USERCREDLAT(77),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA169,USERCREDLAT(80),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA168,USERCREDLAT(81),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA156,USERCREDLAT(79),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA167,USERCREDLAT(82),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA159,USERCREDLAT(78),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA31,USERCREDLAT(32),User,NotCredible,0.0,5
https://nobias-project.eu/RandomVariableAtom/RVA171,USERCREDLAT(88),User,NotCredible,0.031,34
https://nobias-project.eu/RandomVariableAtom/RVA166,USERCREDLAT(83),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA164,USERCREDLAT(85),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA180,USERCREDLAT(91),User,NotCredible,0.0,3
https://nobias-project.eu/RandomVariableAtom/RVA178,USERCREDLAT(93),User,NotCredible,0.041,34
https://nobias-project.eu/RandomVariableAtom/RVA176,USERCREDLAT(95),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA175,USERCREDLAT(96),User,NotCredible,0.012,29
https://nobias-project.eu/RandomVariableAtom/RVA170,USERCREDLAT(89),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA177,USERCREDLAT(94),User,NotCredible,0.0,7
https://nobias-project.eu/RandomVariableAtom/RVA187,USERCREDLAT(99),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10967,USERCREDLAT(102),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10968,USERCREDLAT(101),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10963,USERCREDLAT(106),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10966,USERCREDLAT(103),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA10195,USERCREDLAT(109),User,NotCredible,0.047,34
https://nobias-project.eu/RandomVariableAtom/RVA10201,USERCREDLAT(107),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10217,USERCREDLAT(113),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10214,USERCREDLAT(116),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA10198,USERCREDLAT(108),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10213,USERCREDLAT(117),User,NotCredible,0.321,6
https://nobias-project.eu/RandomVariableAtom/RVA10215,USERCREDLAT(115),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10229,USERCREDLAT(118),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10226,USERCREDLAT(119),User,NotCredible,0.073,33
https://nobias-project.eu/RandomVariableAtom/RVA10219,USERCREDLAT(111),User,NotCredible,0.486,10
https://nobias-project.eu/RandomVariableAtom/RVA10247,USERCREDLAT(124),User,Credible,0.953,32
https://nobias-project.eu/RandomVariableAtom/RVA10243,USERCREDLAT(120),User,NotCredible,0.0,5
https://nobias-project.eu/RandomVariableAtom/RVA10245,USERCREDLAT(127),User,Credible,0.949,31
https://nobias-project.eu/RandomVariableAtom/RVA10250,USERCREDLAT(121),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10292,USERCREDLAT(132),User,NotCredible,0.321,9
https://nobias-project.eu/RandomVariableAtom/RVA10283,USERCREDLAT(130),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10287,USERCREDLAT(136),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10285,USERCREDLAT(138),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10290,USERCREDLAT(133),User,Credible,0.791,8
https://nobias-project.eu/RandomVariableAtom/RVA10220,USERCREDLAT(110),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA10314,USERCREDLAT(140),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10315,USERCREDLAT(149),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10351,USERCREDLAT(150),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10349,USERCREDLAT(152),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10316,USERCREDLAT(148),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10360,USERCREDLAT(154),User,NotCredible,0.062,34
https://nobias-project.eu/RandomVariableAtom/RVA10356,USERCREDLAT(156),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA10353,USERCREDLAT(158),User,Credible,0.988,32
https://nobias-project.eu/RandomVariableAtom/RVA10248,USERCREDLAT(123),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA10395,USERCREDLAT(162),User,Credible,0.558,5
https://nobias-project.eu/RandomVariableAtom/RVA10397,USERCREDLAT(160),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA10401,USERCREDLAT(166),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10354,USERCREDLAT(157),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10394,USERCREDLAT(163),User,Credible,0.947,32
https://nobias-project.eu/RandomVariableAtom/RVA10426,USERCREDLAT(170),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10398,USERCREDLAT(169),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10400,USERCREDLAT(167),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10424,USERCREDLAT(172),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10399,USERCREDLAT(168),User,NotCredible,0.063,34
https://nobias-project.eu/RandomVariableAtom/RVA10352,USERCREDLAT(159),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10435,USERCREDLAT(176),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10423,USERCREDLAT(173),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA10427,USERCREDLAT(179),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA10468,USERCREDLAT(180),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10465,USERCREDLAT(183),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA10421,USERCREDLAT(175),User,NotCredible,0.486,8
https://nobias-project.eu/RandomVariableAtom/RVA10466,USERCREDLAT(182),User,Credible,0.962,34
https://nobias-project.eu/RandomVariableAtom/RVA10422,USERCREDLAT(174),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA10473,USERCREDLAT(187),User,NotCredible,0.063,33
https://nobias-project.eu/RandomVariableAtom/RVA10490,USERCREDLAT(193),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10492,USERCREDLAT(191),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10491,USERCREDLAT(192),User,Credible,0.996,32
https://nobias-project.eu/RandomVariableAtom/RVA10499,USERCREDLAT(198),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10486,USERCREDLAT(197),User,Credible,0.795,31
https://nobias-project.eu/RandomVariableAtom/RVA10489,USERCREDLAT(194),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10581,USERCREDLAT(201),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10578,USERCREDLAT(204),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10577,USERCREDLAT(205),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA10608,USERCREDLAT(215),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10584,USERCREDLAT(209),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA10644,USERCREDLAT(220),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA10593,USERCREDLAT(206),User,NotCredible,0.153,27
https://nobias-project.eu/RandomVariableAtom/RVA10607,USERCREDLAT(216),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10618,USERCREDLAT(218),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10616,USERCREDLAT(219),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10350,USERCREDLAT(151),User,Credible,0.795,31
https://nobias-project.eu/RandomVariableAtom/RVA10643,USERCREDLAT(221),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10638,USERCREDLAT(226),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10642,USERCREDLAT(222),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10612,USERCREDLAT(211),User,NotCredible,0.062,34
https://nobias-project.eu/RandomVariableAtom/RVA10641,USERCREDLAT(223),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9751,USERCREDLAT(230),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9758,USERCREDLAT(232),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9731,USERCREDLAT(229),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10590,USERCREDLAT(207),User,NotCredible,0.0,7
https://nobias-project.eu/RandomVariableAtom/RVA9756,USERCREDLAT(234),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9754,USERCREDLAT(236),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9781,USERCREDLAT(241),User,Credible,0.988,30
https://nobias-project.eu/RandomVariableAtom/RVA9785,USERCREDLAT(247),User,NotCredible,0.0,7
https://nobias-project.eu/RandomVariableAtom/RVA9786,USERCREDLAT(246),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA10493,USERCREDLAT(190),User,Credible,0.984,31
https://nobias-project.eu/RandomVariableAtom/RVA9820,USERCREDLAT(252),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9789,USERCREDLAT(243),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA9821,USERCREDLAT(251),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9827,USERCREDLAT(255),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9831,USERCREDLAT(253),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9828,USERCREDLAT(254),User,NotCredible,0.486,10
https://nobias-project.eu/RandomVariableAtom/RVA9822,USERCREDLAT(250),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9755,USERCREDLAT(235),User,NotCredible,0.153,27
https://nobias-project.eu/RandomVariableAtom/RVA9735,USERCREDLAT(228),User,NotCredible,0.0,7
https://nobias-project.eu/RandomVariableAtom/RVA10639,USERCREDLAT(225),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9825,USERCREDLAT(257),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9824,USERCREDLAT(258),User,NotCredible,0.24,8
https://nobias-project.eu/RandomVariableAtom/RVA9826,USERCREDLAT(256),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9864,USERCREDLAT(262),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9865,USERCREDLAT(261),User,Credible,0.995,27
https://nobias-project.eu/RandomVariableAtom/RVA9873,USERCREDLAT(264),User,Credible,0.795,31
https://nobias-project.eu/RandomVariableAtom/RVA9867,USERCREDLAT(269),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9870,USERCREDLAT(266),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9863,USERCREDLAT(263),User,NotCredible,0.225,28
https://nobias-project.eu/RandomVariableAtom/RVA9893,USERCREDLAT(272),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9895,USERCREDLAT(270),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA9900,USERCREDLAT(276),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA9894,USERCREDLAT(271),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9896,USERCREDLAT(279),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9938,USERCREDLAT(280),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9869,USERCREDLAT(267),User,NotCredible,0.225,28
https://nobias-project.eu/RandomVariableAtom/RVA9936,USERCREDLAT(282),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9871,USERCREDLAT(265),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9935,USERCREDLAT(283),User,NotCredible,0.486,7
https://nobias-project.eu/RandomVariableAtom/RVA9965,USERCREDLAT(290),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9939,USERCREDLAT(289),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9963,USERCREDLAT(292),User,Credible,0.996,22
https://nobias-project.eu/RandomVariableAtom/RVA9934,USERCREDLAT(284),User,NotCredible,0.225,28
https://nobias-project.eu/RandomVariableAtom/RVA9971,USERCREDLAT(297),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10054,USERCREDLAT(301),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10060,USERCREDLAT(307),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9961,USERCREDLAT(294),User,NotCredible,0.062,34
https://nobias-project.eu/RandomVariableAtom/RVA10055,USERCREDLAT(300),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10086,USERCREDLAT(310),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10065,USERCREDLAT(305),User,Credible,0.854,34
https://nobias-project.eu/RandomVariableAtom/RVA10082,USERCREDLAT(314),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10083,USERCREDLAT(313),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA10089,USERCREDLAT(318),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10117,USERCREDLAT(320),User,NotCredible,0.063,34
https://nobias-project.eu/RandomVariableAtom/RVA10113,USERCREDLAT(324),User,NotCredible,0.0,7
https://nobias-project.eu/RandomVariableAtom/RVA10051,USERCREDLAT(304),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10116,USERCREDLAT(321),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10062,USERCREDLAT(306),User,NotCredible,0.063,34
https://nobias-project.eu/RandomVariableAtom/RVA10111,USERCREDLAT(326),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10124,USERCREDLAT(329),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA10114,USERCREDLAT(323),User,NotCredible,0.078,33
https://nobias-project.eu/RandomVariableAtom/RVA10153,USERCREDLAT(335),User,NotCredible,0.015,32
https://nobias-project.eu/RandomVariableAtom/RVA10056,USERCREDLAT(309),User,NotCredible,0.062,34
https://nobias-project.eu/RandomVariableAtom/RVA10156,USERCREDLAT(332),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10152,USERCREDLAT(336),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10189,USERCREDLAT(341),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10181,USERCREDLAT(340),User,Credible,0.795,31
https://nobias-project.eu/RandomVariableAtom/RVA10186,USERCREDLAT(344),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10132,USERCREDLAT(327),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA9246,USERCREDLAT(349),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA10128,USERCREDLAT(328),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA9269,USERCREDLAT(352),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9267,USERCREDLAT(353),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9263,USERCREDLAT(357),User,NotCredible,0.037,21
https://nobias-project.eu/RandomVariableAtom/RVA9264,USERCREDLAT(356),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9261,USERCREDLAT(359),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9300,USERCREDLAT(362),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9309,USERCREDLAT(363),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9301,USERCREDLAT(361),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA9308,USERCREDLAT(364),User,NotCredible,0.486,10
https://nobias-project.eu/RandomVariableAtom/RVA9306,USERCREDLAT(366),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA10184,USERCREDLAT(346),User,Credible,0.991,34
https://nobias-project.eu/RandomVariableAtom/RVA9305,USERCREDLAT(367),User,NotCredible,0.0,6
https://nobias-project.eu/RandomVariableAtom/RVA9260,USERCREDLAT(350),User,Credible,0.997,20
https://nobias-project.eu/RandomVariableAtom/RVA9338,USERCREDLAT(373),User,NotCredible,0.486,10
https://nobias-project.eu/RandomVariableAtom/RVA9339,USERCREDLAT(372),User,NotCredible,0.0,4
https://nobias-project.eu/RandomVariableAtom/RVA9346,USERCREDLAT(375),User,NotCredible,0.038,33
https://nobias-project.eu/RandomVariableAtom/RVA10185,USERCREDLAT(345),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9392,USERCREDLAT(382),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA10188,USERCREDLAT(342),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9343,USERCREDLAT(378),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9391,USERCREDLAT(383),User,NotCredible,0.026,34
https://nobias-project.eu/RandomVariableAtom/RVA9394,USERCREDLAT(380),User,NotCredible,0.0,2
https://nobias-project.eu/RandomVariableAtom/RVA9393,USERCREDLAT(381),User,NotCredible,0.097,33
https://nobias-project.eu/RandomVariableAtom/RVA9400,USERCREDLAT(385),User,NotCredible,0.0,8
https://nobias-project.eu/RandomVariableAtom/RVA9396,USERCREDLAT(388),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9398,USERCREDLAT(386),User,NotCredible,0.0,9
https://nobias-project.eu/RandomVariableAtom/RVA9395,USERCREDLAT(389),User,NotCredible,0.0,9
