name,rva,groundRuleCount
PUBCREDLAT(http://freedomdaily.com),https://nobias-project.eu/RandomVariableAtom/RVA14700,19
USERCREDLAT(10898),https://nobias-project.eu/RandomVariableAtom/RVA15112,19
USERCREDLAT(11450),https://nobias-project.eu/RandomVariableAtom/RVA4061,19
USERCREDLAT(12453),https://nobias-project.eu/RandomVariableAtom/RVA786,19
USERCREDLAT(12499),https://nobias-project.eu/RandomVariableAtom/RVA719,19
USERCREDLAT(14271),https://nobias-project.eu/RandomVariableAtom/RVA5551,19
USERCREDLAT(3152),https://nobias-project.eu/RandomVariableAtom/RVA9180,19
USERCREDLAT(4430),https://nobias-project.eu/RandomVariableAtom/RVA9057,19
USERCREDLAT(6117),https://nobias-project.eu/RandomVariableAtom/RVA12636,19
FAKENEWS(BuzzFeed_Real_36),https://nobias-project.eu/RandomVariableAtom/RVA755,18
USERCREDLAT(12046),https://nobias-project.eu/RandomVariableAtom/RVA7547,18
USERCREDLAT(12761),https://nobias-project.eu/RandomVariableAtom/RVA4115,18
USERCREDLAT(2101),https://nobias-project.eu/RandomVariableAtom/RVA7250,18
USERCREDLAT(548),https://nobias-project.eu/RandomVariableAtom/RVA12950,18
USERCREDLAT(8824),https://nobias-project.eu/RandomVariableAtom/RVA12933,18
USERCREDLAT(14929),https://nobias-project.eu/RandomVariableAtom/RVA2044,17
USERCREDLAT(2427),https://nobias-project.eu/RandomVariableAtom/RVA925,17
USERCREDLAT(4733),https://nobias-project.eu/RandomVariableAtom/RVA7186,17
USERCREDLAT(5908),https://nobias-project.eu/RandomVariableAtom/RVA7737,17
USERCREDLAT(7502),https://nobias-project.eu/RandomVariableAtom/RVA12904,17
USERCREDLAT(802),https://nobias-project.eu/RandomVariableAtom/RVA11151,17
USERCREDLAT(966),https://nobias-project.eu/RandomVariableAtom/RVA6601,17
USERCREDLAT(13222),https://nobias-project.eu/RandomVariableAtom/RVA8253,16
USERCREDLAT(13838),https://nobias-project.eu/RandomVariableAtom/RVA630,16
USERCREDLAT(2806),https://nobias-project.eu/RandomVariableAtom/RVA3207,16
USERCREDLAT(7441),https://nobias-project.eu/RandomVariableAtom/RVA12616,16
USERCREDLAT(9129),https://nobias-project.eu/RandomVariableAtom/RVA13123,16
USERCREDLAT(10178),https://nobias-project.eu/RandomVariableAtom/RVA3700,15
USERCREDLAT(1110),https://nobias-project.eu/RandomVariableAtom/RVA994,15
USERCREDLAT(12956),https://nobias-project.eu/RandomVariableAtom/RVA2938,15
USERCREDLAT(13185),https://nobias-project.eu/RandomVariableAtom/RVA8855,15
USERCREDLAT(14528),https://nobias-project.eu/RandomVariableAtom/RVA8304,15
USERCREDLAT(14658),https://nobias-project.eu/RandomVariableAtom/RVA7629,15
USERCREDLAT(1615),https://nobias-project.eu/RandomVariableAtom/RVA2760,15
USERCREDLAT(1820),https://nobias-project.eu/RandomVariableAtom/RVA13720,15
USERCREDLAT(2100),https://nobias-project.eu/RandomVariableAtom/RVA7258,15
USERCREDLAT(2463),https://nobias-project.eu/RandomVariableAtom/RVA1050,15
USERCREDLAT(292),https://nobias-project.eu/RandomVariableAtom/RVA9963,15
USERCREDLAT(3068),https://nobias-project.eu/RandomVariableAtom/RVA5445,15
USERCREDLAT(3629),https://nobias-project.eu/RandomVariableAtom/RVA1584,15
USERCREDLAT(3926),https://nobias-project.eu/RandomVariableAtom/RVA4323,15
USERCREDLAT(4843),https://nobias-project.eu/RandomVariableAtom/RVA2346,15
USERCREDLAT(5107),https://nobias-project.eu/RandomVariableAtom/RVA12024,15
USERCREDLAT(5784),https://nobias-project.eu/RandomVariableAtom/RVA9062,15
USERCREDLAT(5852),https://nobias-project.eu/RandomVariableAtom/RVA8504,15
USERCREDLAT(6009),https://nobias-project.eu/RandomVariableAtom/RVA9389,15
FAKENEWS(BuzzFeed_Fake_6),https://nobias-project.eu/RandomVariableAtom/RVA9559,14
FAKENEWS(BuzzFeed_Fake_65),https://nobias-project.eu/RandomVariableAtom/RVA8352,14
FAKENEWS(BuzzFeed_Real_4),https://nobias-project.eu/RandomVariableAtom/RVA9556,14
USERCREDLAT(10054),https://nobias-project.eu/RandomVariableAtom/RVA4218,14
USERCREDLAT(10167),https://nobias-project.eu/RandomVariableAtom/RVA3746,14
USERCREDLAT(14576),https://nobias-project.eu/RandomVariableAtom/RVA8215,14
USERCREDLAT(2913),https://nobias-project.eu/RandomVariableAtom/RVA2709,14
USERCREDLAT(4104),https://nobias-project.eu/RandomVariableAtom/RVA6223,14
USERCREDLAT(7985),https://nobias-project.eu/RandomVariableAtom/RVA6729,14
USERCREDLAT(8452),https://nobias-project.eu/RandomVariableAtom/RVA10323,14
USERCREDLAT(8731),https://nobias-project.eu/RandomVariableAtom/RVA9608,14
USERCREDLAT(9130),https://nobias-project.eu/RandomVariableAtom/RVA13125,14
USERCREDLAT(9726),https://nobias-project.eu/RandomVariableAtom/RVA10950,14
USERCREDLAT(11189),https://nobias-project.eu/RandomVariableAtom/RVA693,13
USERCREDLAT(11234),https://nobias-project.eu/RandomVariableAtom/RVA539,13
USERCREDLAT(11345),https://nobias-project.eu/RandomVariableAtom/RVA4650,13
USERCREDLAT(11539),https://nobias-project.eu/RandomVariableAtom/RVA3598,13
USERCREDLAT(1636),https://nobias-project.eu/RandomVariableAtom/RVA2794,13
USERCREDLAT(1718),https://nobias-project.eu/RandomVariableAtom/RVA14009,13
USERCREDLAT(2222),https://nobias-project.eu/RandomVariableAtom/RVA2446,13
USERCREDLAT(2663),https://nobias-project.eu/RandomVariableAtom/RVA4510,13
USERCREDLAT(2754),https://nobias-project.eu/RandomVariableAtom/RVA3831,13
USERCREDLAT(5328),https://nobias-project.eu/RandomVariableAtom/RVA6745,13
USERCREDLAT(5466),https://nobias-project.eu/RandomVariableAtom/RVA6271,13
USERCREDLAT(6368),https://nobias-project.eu/RandomVariableAtom/RVA11614,13
USERCREDLAT(9439),https://nobias-project.eu/RandomVariableAtom/RVA14571,13
USERCREDLAT(969),https://nobias-project.eu/RandomVariableAtom/RVA6610,13
USERCREDLAT(10404),https://nobias-project.eu/RandomVariableAtom/RVA14107,12
USERCREDLAT(10453),https://nobias-project.eu/RandomVariableAtom/RVA14213,12
USERCREDLAT(10714),https://nobias-project.eu/RandomVariableAtom/RVA13286,12
USERCREDLAT(11608),https://nobias-project.eu/RandomVariableAtom/RVA2979,12
USERCREDLAT(11622),https://nobias-project.eu/RandomVariableAtom/RVA2895,12
USERCREDLAT(1163),https://nobias-project.eu/RandomVariableAtom/RVA1110,12
USERCREDLAT(12277),https://nobias-project.eu/RandomVariableAtom/RVA2102,12
USERCREDLAT(14462),https://nobias-project.eu/RandomVariableAtom/RVA8755,12
USERCREDLAT(4948),https://nobias-project.eu/RandomVariableAtom/RVA1559,12
USERCREDLAT(5585),https://nobias-project.eu/RandomVariableAtom/RVA5836,12
USERCREDLAT(5650),https://nobias-project.eu/RandomVariableAtom/RVA5271,12
USERCREDLAT(6489),https://nobias-project.eu/RandomVariableAtom/RVA11049,12
USERCREDLAT(7418),https://nobias-project.eu/RandomVariableAtom/RVA9707,12
USERCREDLAT(7500),https://nobias-project.eu/RandomVariableAtom/RVA12900,12
USERCREDLAT(9966),https://nobias-project.eu/RandomVariableAtom/RVA10141,12
PUBCREDLAT(http://abcn.ws),https://nobias-project.eu/RandomVariableAtom/RVA2157,11
PUBCREDLAT(unknown),https://nobias-project.eu/RandomVariableAtom/RVA5609,11
USERCREDLAT(11261),https://nobias-project.eu/RandomVariableAtom/RVA58,11
USERCREDLAT(11312),https://nobias-project.eu/RandomVariableAtom/RVA4807,11
USERCREDLAT(1428),https://nobias-project.eu/RandomVariableAtom/RVA3824,11
USERCREDLAT(14417),https://nobias-project.eu/RandomVariableAtom/RVA8826,11
USERCREDLAT(14601),https://nobias-project.eu/RandomVariableAtom/RVA8129,11
USERCREDLAT(15246),https://nobias-project.eu/RandomVariableAtom/RVA11096,11
USERCREDLAT(15257),https://nobias-project.eu/RandomVariableAtom/RVA11105,11
USERCREDLAT(2042),https://nobias-project.eu/RandomVariableAtom/RVA8116,11
USERCREDLAT(2426),https://nobias-project.eu/RandomVariableAtom/RVA923,11
USERCREDLAT(2664),https://nobias-project.eu/RandomVariableAtom/RVA4498,11
USERCREDLAT(3200),https://nobias-project.eu/RandomVariableAtom/RVA8528,11
USERCREDLAT(3519),https://nobias-project.eu/RandomVariableAtom/RVA2332,11
USERCREDLAT(4001),https://nobias-project.eu/RandomVariableAtom/RVA6806,11
USERCREDLAT(5020),https://nobias-project.eu/RandomVariableAtom/RVA11575,11
USERCREDLAT(5229),https://nobias-project.eu/RandomVariableAtom/RVA11455,11
USERCREDLAT(6274),https://nobias-project.eu/RandomVariableAtom/RVA12209,11
USERCREDLAT(7055),https://nobias-project.eu/RandomVariableAtom/RVA10887,11
USERCREDLAT(7094),https://nobias-project.eu/RandomVariableAtom/RVA10915,11
USERCREDLAT(7989),https://nobias-project.eu/RandomVariableAtom/RVA6741,11
USERCREDLAT(971),https://nobias-project.eu/RandomVariableAtom/RVA6621,11
USERCREDLAT(9961),https://nobias-project.eu/RandomVariableAtom/RVA10119,11
PUBCREDLAT(http://addictinginfo.org),https://nobias-project.eu/RandomVariableAtom/RVA10910,10
USERCREDLAT(10195),https://nobias-project.eu/RandomVariableAtom/RVA3687,10
USERCREDLAT(11317),https://nobias-project.eu/RandomVariableAtom/RVA4726,10
USERCREDLAT(11579),https://nobias-project.eu/RandomVariableAtom/RVA3564,10
USERCREDLAT(13540),https://nobias-project.eu/RandomVariableAtom/RVA2209,10
USERCREDLAT(13777),https://nobias-project.eu/RandomVariableAtom/RVA1172,10
USERCREDLAT(14109),https://nobias-project.eu/RandomVariableAtom/RVA5943,10
USERCREDLAT(1472),https://nobias-project.eu/RandomVariableAtom/RVA3947,10
USERCREDLAT(1559),https://nobias-project.eu/RandomVariableAtom/RVA3346,10
USERCREDLAT(1706),https://nobias-project.eu/RandomVariableAtom/RVA13999,10
USERCREDLAT(2072),https://nobias-project.eu/RandomVariableAtom/RVA8180,10
USERCREDLAT(2533),https://nobias-project.eu/RandomVariableAtom/RVA292,10
USERCREDLAT(3847),https://nobias-project.eu/RandomVariableAtom/RVA237,10
USERCREDLAT(4526),https://nobias-project.eu/RandomVariableAtom/RVA8495,10
USERCREDLAT(4720),https://nobias-project.eu/RandomVariableAtom/RVA7171,10
USERCREDLAT(5741),https://nobias-project.eu/RandomVariableAtom/RVA8970,10
USERCREDLAT(5865),https://nobias-project.eu/RandomVariableAtom/RVA8487,10
USERCREDLAT(5883),https://nobias-project.eu/RandomVariableAtom/RVA8534,10
USERCREDLAT(5959),https://nobias-project.eu/RandomVariableAtom/RVA7881,10
USERCREDLAT(6011),https://nobias-project.eu/RandomVariableAtom/RVA9315,10
USERCREDLAT(6018),https://nobias-project.eu/RandomVariableAtom/RVA9334,10
USERCREDLAT(6880),https://nobias-project.eu/RandomVariableAtom/RVA5801,10
USERCREDLAT(7186),https://nobias-project.eu/RandomVariableAtom/RVA10523,10
USERCREDLAT(7238),https://nobias-project.eu/RandomVariableAtom/RVA9930,10
USERCREDLAT(7825),https://nobias-project.eu/RandomVariableAtom/RVA11240,10
USERCREDLAT(8123),https://nobias-project.eu/RandomVariableAtom/RVA14603,10
USERCREDLAT(853),https://nobias-project.eu/RandomVariableAtom/RVA11245,10
USERCREDLAT(8988),https://nobias-project.eu/RandomVariableAtom/RVA12593,10
USERCREDLAT(901),https://nobias-project.eu/RandomVariableAtom/RVA6504,10
USERCREDLAT(9343),https://nobias-project.eu/RandomVariableAtom/RVA14733,10
USERCREDLAT(9483),https://nobias-project.eu/RandomVariableAtom/RVA14661,10
USERCREDLAT(9763),https://nobias-project.eu/RandomVariableAtom/RVA10256,10
USERCREDLAT(10005),https://nobias-project.eu/RandomVariableAtom/RVA4757,9
USERCREDLAT(10241),https://nobias-project.eu/RandomVariableAtom/RVA3549,9
USERCREDLAT(10574),https://nobias-project.eu/RandomVariableAtom/RVA13936,9
USERCREDLAT(10870),https://nobias-project.eu/RandomVariableAtom/RVA15114,9
USERCREDLAT(11154),https://nobias-project.eu/RandomVariableAtom/RVA765,9
USERCREDLAT(11342),https://nobias-project.eu/RandomVariableAtom/RVA4641,9
USERCREDLAT(1175),https://nobias-project.eu/RandomVariableAtom/RVA1149,9
USERCREDLAT(1224),https://nobias-project.eu/RandomVariableAtom/RVA354,9
USERCREDLAT(12680),https://nobias-project.eu/RandomVariableAtom/RVA4667,9
USERCREDLAT(12755),https://nobias-project.eu/RandomVariableAtom/RVA4105,9
USERCREDLAT(12996),https://nobias-project.eu/RandomVariableAtom/RVA3082,9
USERCREDLAT(13273),https://nobias-project.eu/RandomVariableAtom/RVA8416,9
USERCREDLAT(13368),https://nobias-project.eu/RandomVariableAtom/RVA7528,9
USERCREDLAT(13820),https://nobias-project.eu/RandomVariableAtom/RVA659,9
USERCREDLAT(13936),https://nobias-project.eu/RandomVariableAtom/RVA4847,9
USERCREDLAT(14013),https://nobias-project.eu/RandomVariableAtom/RVA6471,9
USERCREDLAT(14476),https://nobias-project.eu/RandomVariableAtom/RVA8916,9
USERCREDLAT(1600),https://nobias-project.eu/RandomVariableAtom/RVA2749,9
USERCREDLAT(1709),https://nobias-project.eu/RandomVariableAtom/RVA13998,9
USERCREDLAT(1913),https://nobias-project.eu/RandomVariableAtom/RVA13319,9
USERCREDLAT(2111),https://nobias-project.eu/RandomVariableAtom/RVA7285,9
USERCREDLAT(2325),https://nobias-project.eu/RandomVariableAtom/RVA1682,9
USERCREDLAT(2637),https://nobias-project.eu/RandomVariableAtom/RVA4393,9
USERCREDLAT(2887),https://nobias-project.eu/RandomVariableAtom/RVA3353,9
USERCREDLAT(3015),https://nobias-project.eu/RandomVariableAtom/RVA5326,9
USERCREDLAT(3397),https://nobias-project.eu/RandomVariableAtom/RVA8156,9
USERCREDLAT(3623),https://nobias-project.eu/RandomVariableAtom/RVA1595,9
USERCREDLAT(3725),https://nobias-project.eu/RandomVariableAtom/RVA874,9
USERCREDLAT(3995),https://nobias-project.eu/RandomVariableAtom/RVA4502,9
USERCREDLAT(4332),https://nobias-project.eu/RandomVariableAtom/RVA5305,9
USERCREDLAT(51),https://nobias-project.eu/RandomVariableAtom/RVA84,9
USERCREDLAT(5341),https://nobias-project.eu/RandomVariableAtom/RVA6781,9
USERCREDLAT(5507),https://nobias-project.eu/RandomVariableAtom/RVA5645,9
USERCREDLAT(600),https://nobias-project.eu/RandomVariableAtom/RVA12294,9
USERCREDLAT(6008),https://nobias-project.eu/RandomVariableAtom/RVA9387,9
USERCREDLAT(7014),https://nobias-project.eu/RandomVariableAtom/RVA10799,9
USERCREDLAT(7117),https://nobias-project.eu/RandomVariableAtom/RVA10387,9
USERCREDLAT(748),https://nobias-project.eu/RandomVariableAtom/RVA11867,9
USERCREDLAT(7547),https://nobias-project.eu/RandomVariableAtom/RVA13027,9
USERCREDLAT(7552),https://nobias-project.eu/RandomVariableAtom/RVA12140,9
USERCREDLAT(7618),https://nobias-project.eu/RandomVariableAtom/RVA12440,9
USERCREDLAT(8284),https://nobias-project.eu/RandomVariableAtom/RVA14462,9
USERCREDLAT(868),https://nobias-project.eu/RandomVariableAtom/RVA11282,9
USERCREDLAT(8751),https://nobias-project.eu/RandomVariableAtom/RVA9658,9
USERCREDLAT(9213),https://nobias-project.eu/RandomVariableAtom/RVA14994,9
USERCREDLAT(9319),https://nobias-project.eu/RandomVariableAtom/RVA14731,9
USERCREDLAT(96),https://nobias-project.eu/RandomVariableAtom/RVA175,9
FAKENEWS(BuzzFeed_Real_88),https://nobias-project.eu/RandomVariableAtom/RVA849,8
PUBCREDLAT(http://occupydemocrats.com),https://nobias-project.eu/RandomVariableAtom/RVA12848,8
USERCREDLAT(1004),https://nobias-project.eu/RandomVariableAtom/RVA1724,8
USERCREDLAT(10065),https://nobias-project.eu/RandomVariableAtom/RVA4239,8
USERCREDLAT(10400),https://nobias-project.eu/RandomVariableAtom/RVA14151,8
USERCREDLAT(10460),https://nobias-project.eu/RandomVariableAtom/RVA14229,8
USERCREDLAT(10638),https://nobias-project.eu/RandomVariableAtom/RVA13578,8
USERCREDLAT(10673),https://nobias-project.eu/RandomVariableAtom/RVA13670,8
USERCREDLAT(10900),https://nobias-project.eu/RandomVariableAtom/RVA15020,8
USERCREDLAT(11329),https://nobias-project.eu/RandomVariableAtom/RVA4770,8
USERCREDLAT(11433),https://nobias-project.eu/RandomVariableAtom/RVA4124,8
USERCREDLAT(11728),https://nobias-project.eu/RandomVariableAtom/RVA14162,8
USERCREDLAT(11836),https://nobias-project.eu/RandomVariableAtom/RVA13858,8
USERCREDLAT(12147),https://nobias-project.eu/RandomVariableAtom/RVA6991,8
USERCREDLAT(1229),https://nobias-project.eu/RandomVariableAtom/RVA333,8
USERCREDLAT(12450),https://nobias-project.eu/RandomVariableAtom/RVA783,8
USERCREDLAT(12559),https://nobias-project.eu/RandomVariableAtom/RVA554,8
USERCREDLAT(12795),https://nobias-project.eu/RandomVariableAtom/RVA3988,8
USERCREDLAT(12948),https://nobias-project.eu/RandomVariableAtom/RVA2914,8
USERCREDLAT(13000),https://nobias-project.eu/RandomVariableAtom/RVA4882,8
USERCREDLAT(1323),https://nobias-project.eu/RandomVariableAtom/RVA4466,8
USERCREDLAT(13235),https://nobias-project.eu/RandomVariableAtom/RVA8280,8
USERCREDLAT(13373),https://nobias-project.eu/RandomVariableAtom/RVA7539,8
USERCREDLAT(13543),https://nobias-project.eu/RandomVariableAtom/RVA2220,8
USERCREDLAT(13630),https://nobias-project.eu/RandomVariableAtom/RVA1993,8
USERCREDLAT(13634),https://nobias-project.eu/RandomVariableAtom/RVA2003,8
USERCREDLAT(14117),https://nobias-project.eu/RandomVariableAtom/RVA6068,8
USERCREDLAT(14124),https://nobias-project.eu/RandomVariableAtom/RVA6076,8
USERCREDLAT(14207),https://nobias-project.eu/RandomVariableAtom/RVA5528,8
USERCREDLAT(14408),https://nobias-project.eu/RandomVariableAtom/RVA8831,8
USERCREDLAT(1467),https://nobias-project.eu/RandomVariableAtom/RVA3918,8
USERCREDLAT(14675),https://nobias-project.eu/RandomVariableAtom/RVA7576,8
USERCREDLAT(1528),https://nobias-project.eu/RandomVariableAtom/RVA3287,8
USERCREDLAT(1812),https://nobias-project.eu/RandomVariableAtom/RVA13707,8
USERCREDLAT(1889),https://nobias-project.eu/RandomVariableAtom/RVA13781,8
USERCREDLAT(192),https://nobias-project.eu/RandomVariableAtom/RVA10491,8
USERCREDLAT(1978),https://nobias-project.eu/RandomVariableAtom/RVA13375,8
USERCREDLAT(2173),https://nobias-project.eu/RandomVariableAtom/RVA7480,8
USERCREDLAT(2327),https://nobias-project.eu/RandomVariableAtom/RVA1677,8
USERCREDLAT(2329),https://nobias-project.eu/RandomVariableAtom/RVA1676,8
USERCREDLAT(2507),https://nobias-project.eu/RandomVariableAtom/RVA213,8
USERCREDLAT(2547),https://nobias-project.eu/RandomVariableAtom/RVA306,8
USERCREDLAT(2731),https://nobias-project.eu/RandomVariableAtom/RVA3799,8
USERCREDLAT(2810),https://nobias-project.eu/RandomVariableAtom/RVA3238,8
USERCREDLAT(2846),https://nobias-project.eu/RandomVariableAtom/RVA3273,8
USERCREDLAT(2918),https://nobias-project.eu/RandomVariableAtom/RVA2702,8
USERCREDLAT(3461),https://nobias-project.eu/RandomVariableAtom/RVA7345,8
USERCREDLAT(3583),https://nobias-project.eu/RandomVariableAtom/RVA2523,8
USERCREDLAT(3731),https://nobias-project.eu/RandomVariableAtom/RVA897,8
USERCREDLAT(4392),https://nobias-project.eu/RandomVariableAtom/RVA5460,8
USERCREDLAT(4730),https://nobias-project.eu/RandomVariableAtom/RVA7191,8
USERCREDLAT(4781),https://nobias-project.eu/RandomVariableAtom/RVA7317,8
USERCREDLAT(4887),https://nobias-project.eu/RandomVariableAtom/RVA2440,8
USERCREDLAT(4937),https://nobias-project.eu/RandomVariableAtom/RVA1532,8
USERCREDLAT(5282),https://nobias-project.eu/RandomVariableAtom/RVA6423,8
USERCREDLAT(5343),https://nobias-project.eu/RandomVariableAtom/RVA6785,8
USERCREDLAT(5455),https://nobias-project.eu/RandomVariableAtom/RVA6299,8
USERCREDLAT(5564),https://nobias-project.eu/RandomVariableAtom/RVA5780,8
USERCREDLAT(5582),https://nobias-project.eu/RandomVariableAtom/RVA5833,8
USERCREDLAT(568),https://nobias-project.eu/RandomVariableAtom/RVA12997,8
USERCREDLAT(5714),https://nobias-project.eu/RandomVariableAtom/RVA8963,8
USERCREDLAT(5768),https://nobias-project.eu/RandomVariableAtom/RVA9016,8
USERCREDLAT(6377),https://nobias-project.eu/RandomVariableAtom/RVA11582,8
USERCREDLAT(6405),https://nobias-project.eu/RandomVariableAtom/RVA11953,8
USERCREDLAT(6449),https://nobias-project.eu/RandomVariableAtom/RVA12082,8
USERCREDLAT(6495),https://nobias-project.eu/RandomVariableAtom/RVA11026,8
USERCREDLAT(6724),https://nobias-project.eu/RandomVariableAtom/RVA6149,8
USERCREDLAT(6751),https://nobias-project.eu/RandomVariableAtom/RVA6160,8
