term_id,coefficient,has_rva,Model,Dataset,Fold_number,fold_id
Term29,1.0,RVA9558,Model2,Data1,1,Fold1
Term30,1.0,RVA71,Model2,Data1,1,Fold1
Term31,1.0,RVA21,Model2,Data1,1,Fold1
Term32,1.0,RVA80,Model2,Data1,1,Fold1
Term33,1.0,RVA84,Model2,Data1,1,Fold1
Term34,1.0,RVA28,Model2,Data1,1,Fold1
Term35,1.0,RVA84,Model2,Data1,1,Fold1
Term36,1.0,RVA79,Model2,Data1,1,Fold1
Term36,1.0,RVA8356,Model2,Data1,1,Fold1
Term37,1.0,RVA83,Model2,Data1,1,Fold1
Term37,1.0,RVA778,Model2,Data1,1,Fold1
Term38,1.0,RVA82,Model2,Data1,1,Fold1
Term39,1.0,RVA84,Model2,Data1,1,Fold1
Term39,1.0,RVA8355,Model2,Data1,1,Fold1
Term40,1.0,RVA10,Model2,Data1,1,Fold1
Term40,1.0,RVA5710,Model2,Data1,1,Fold1
Term41,1.0,RVA126,Model2,Data1,1,Fold1
Term41,1.0,RVA723,Model2,Data1,1,Fold1
Term42,1.0,RVA98,Model2,Data1,1,Fold1
Term42,1.0,RVA5710,Model2,Data1,1,Fold1
Term43,1.0,RVA123,Model2,Data1,1,Fold1
Term44,1.0,RVA98,Model2,Data1,1,Fold1
Term45,1.0,RVA136,Model2,Data1,1,Fold1
Term45,1.0,RVA8355,Model2,Data1,1,Fold1
Term46,1.0,RVA134,Model2,Data1,1,Fold1
Term46,1.0,RVA8356,Model2,Data1,1,Fold1
Term47,1.0,RVA133,Model2,Data1,1,Fold1
Term48,1.0,RVA84,Model2,Data1,1,Fold1
Term49,1.0,RVA161,Model2,Data1,1,Fold1
Term50,1.0,RVA169,Model2,Data1,1,Fold1
Term51,1.0,RVA168,Model2,Data1,1,Fold1
Term52,1.0,RVA156,Model2,Data1,1,Fold1
Term53,1.0,RVA167,Model2,Data1,1,Fold1
Term54,1.0,RVA71,Model2,Data1,1,Fold1
Term55,1.0,RVA159,Model2,Data1,1,Fold1
Term56,1.0,RVA47,Model2,Data1,1,Fold1
Term57,1.0,RVA31,Model2,Data1,1,Fold1
Term58,1.0,RVA167,Model2,Data1,1,Fold1
Term59,1.0,RVA134,Model2,Data1,1,Fold1
Term60,1.0,RVA123,Model2,Data1,1,Fold1
Term60,1.0,RVA5710,Model2,Data1,1,Fold1
Term61,1.0,RVA171,Model2,Data1,1,Fold1
Term62,1.0,RVA166,Model2,Data1,1,Fold1
Term63,1.0,RVA164,Model2,Data1,1,Fold1
Term64,1.0,RVA180,Model2,Data1,1,Fold1
Term65,1.0,RVA171,Model2,Data1,1,Fold1
Term65,1.0,RVA5710,Model2,Data1,1,Fold1
Term66,1.0,RVA178,Model2,Data1,1,Fold1
Term66,1.0,RVA8368,Model2,Data1,1,Fold1
Term67,1.0,RVA171,Model2,Data1,1,Fold1
Term68,1.0,RVA178,Model2,Data1,1,Fold1
Term69,1.0,RVA178,Model2,Data1,1,Fold1
Term70,1.0,RVA176,Model2,Data1,1,Fold1
Term71,1.0,RVA176,Model2,Data1,1,Fold1
Term72,1.0,RVA175,Model2,Data1,1,Fold1
Term73,1.0,RVA170,Model2,Data1,1,Fold1
Term74,1.0,RVA175,Model2,Data1,1,Fold1
Term75,1.0,RVA178,Model2,Data1,1,Fold1
Term75,1.0,RVA8356,Model2,Data1,1,Fold1
Term76,1.0,RVA178,Model2,Data1,1,Fold1
Term77,1.0,RVA177,Model2,Data1,1,Fold1
Term78,1.0,RVA175,Model2,Data1,1,Fold1
Term79,1.0,RVA175,Model2,Data1,1,Fold1
Term79,1.0,RVA5710,Model2,Data1,1,Fold1
Term80,1.0,RVA175,Model2,Data1,1,Fold1
Term81,1.0,RVA175,Model2,Data1,1,Fold1
Term82,1.0,RVA175,Model2,Data1,1,Fold1
Term83,1.0,RVA187,Model2,Data1,1,Fold1
Term84,1.0,RVA176,Model2,Data1,1,Fold1
Term85,1.0,RVA175,Model2,Data1,1,Fold1
Term86,1.0,RVA10967,Model2,Data1,1,Fold1
Term87,1.0,RVA10968,Model2,Data1,1,Fold1
Term88,1.0,RVA10963,Model2,Data1,1,Fold1
Term89,1.0,RVA176,Model2,Data1,1,Fold1
Term90,1.0,RVA10966,Model2,Data1,1,Fold1
Term90,1.0,RVA5710,Model2,Data1,1,Fold1
Term91,1.0,RVA10195,Model2,Data1,1,Fold1
Term92,1.0,RVA10201,Model2,Data1,1,Fold1
Term93,1.0,RVA10217,Model2,Data1,1,Fold1
Term94,1.0,RVA10195,Model2,Data1,1,Fold1
Term94,1.0,RVA5710,Model2,Data1,1,Fold1
Term95,1.0,RVA10214,Model2,Data1,1,Fold1
Term96,1.0,RVA10201,Model2,Data1,1,Fold1
Term97,1.0,RVA10198,Model2,Data1,1,Fold1
Term98,1.0,RVA10213,Model2,Data1,1,Fold1
Term99,1.0,RVA10215,Model2,Data1,1,Fold1
Term100,1.0,RVA10213,Model2,Data1,1,Fold1
Term101,1.0,RVA10229,Model2,Data1,1,Fold1
Term102,1.0,RVA10226,Model2,Data1,1,Fold1
Term103,1.0,RVA10226,Model2,Data1,1,Fold1
Term103,1.0,RVA8378,Model2,Data1,1,Fold1
Term104,1.0,RVA10219,Model2,Data1,1,Fold1
Term105,1.0,RVA10226,Model2,Data1,1,Fold1
Term105,1.0,RVA8356,Model2,Data1,1,Fold1
Term106,1.0,RVA10247,Model2,Data1,1,Fold1
Term106,1.0,RVA773,Model2,Data1,1,Fold1
Term107,1.0,RVA10243,Model2,Data1,1,Fold1
Term108,1.0,RVA10245,Model2,Data1,1,Fold1
Term108,1.0,RVA846,Model2,Data1,1,Fold1
Term109,1.0,RVA10250,Model2,Data1,1,Fold1
Term110,1.0,RVA10292,Model2,Data1,1,Fold1
Term111,1.0,RVA10283,Model2,Data1,1,Fold1
Term112,1.0,RVA10287,Model2,Data1,1,Fold1
Term113,1.0,RVA10285,Model2,Data1,1,Fold1
Term114,1.0,RVA10290,Model2,Data1,1,Fold1
Term115,1.0,RVA10220,Model2,Data1,1,Fold1
Term115,1.0,RVA778,Model2,Data1,1,Fold1
Term116,1.0,RVA10314,Model2,Data1,1,Fold1
Term117,1.0,RVA10315,Model2,Data1,1,Fold1
Term118,1.0,RVA10351,Model2,Data1,1,Fold1
Term119,1.0,RVA10349,Model2,Data1,1,Fold1
Term120,1.0,RVA10316,Model2,Data1,1,Fold1
Term121,1.0,RVA10292,Model2,Data1,1,Fold1
Term122,1.0,RVA10360,Model2,Data1,1,Fold1
Term122,1.0,RVA9558,Model2,Data1,1,Fold1
Term123,1.0,RVA10356,Model2,Data1,1,Fold1
Term123,1.0,RVA778,Model2,Data1,1,Fold1
Term124,1.0,RVA10353,Model2,Data1,1,Fold1
Term124,1.0,RVA773,Model2,Data1,1,Fold1
Term125,1.0,RVA10248,Model2,Data1,1,Fold1
Term125,1.0,RVA5710,Model2,Data1,1,Fold1
Term126,1.0,RVA10395,Model2,Data1,1,Fold1
Term127,1.0,RVA10397,Model2,Data1,1,Fold1
Term127,1.0,RVA5710,Model2,Data1,1,Fold1
Term128,1.0,RVA10395,Model2,Data1,1,Fold1
Term129,1.0,RVA10401,Model2,Data1,1,Fold1
Term130,1.0,RVA10354,Model2,Data1,1,Fold1
Term131,1.0,RVA10394,Model2,Data1,1,Fold1
Term131,1.0,RVA836,Model2,Data1,1,Fold1
Term132,1.0,RVA10395,Model2,Data1,1,Fold1
Term133,1.0,RVA10426,Model2,Data1,1,Fold1
Term134,1.0,RVA10398,Model2,Data1,1,Fold1
Term135,1.0,RVA10400,Model2,Data1,1,Fold1
Term136,1.0,RVA10424,Model2,Data1,1,Fold1
Term137,1.0,RVA10399,Model2,Data1,1,Fold1
Term137,1.0,RVA8350,Model2,Data1,1,Fold1
Term138,1.0,RVA10352,Model2,Data1,1,Fold1
Term139,1.0,RVA10435,Model2,Data1,1,Fold1
Term140,1.0,RVA10426,Model2,Data1,1,Fold1
Term141,1.0,RVA10423,Model2,Data1,1,Fold1
Term141,1.0,RVA5710,Model2,Data1,1,Fold1
Term142,1.0,RVA10427,Model2,Data1,1,Fold1
Term143,1.0,RVA10468,Model2,Data1,1,Fold1
Term144,1.0,RVA10465,Model2,Data1,1,Fold1
Term145,1.0,RVA10421,Model2,Data1,1,Fold1
Term146,1.0,RVA10465,Model2,Data1,1,Fold1
Term147,1.0,RVA10466,Model2,Data1,1,Fold1
Term147,1.0,RVA778,Model2,Data1,1,Fold1
Term148,1.0,RVA10422,Model2,Data1,1,Fold1
Term148,1.0,RVA778,Model2,Data1,1,Fold1
Term149,1.0,RVA10473,Model2,Data1,1,Fold1
Term149,1.0,RVA8350,Model2,Data1,1,Fold1
Term150,1.0,RVA10490,Model2,Data1,1,Fold1
Term151,1.0,RVA10492,Model2,Data1,1,Fold1
Term152,1.0,RVA10491,Model2,Data1,1,Fold1
Term152,1.0,RVA9557,Model2,Data1,1,Fold1
Term153,1.0,RVA10499,Model2,Data1,1,Fold1
Term154,1.0,RVA10486,Model2,Data1,1,Fold1
Term154,1.0,RVA724,Model2,Data1,1,Fold1
Term155,1.0,RVA10489,Model2,Data1,1,Fold1
Term156,1.0,RVA10499,Model2,Data1,1,Fold1
Term157,1.0,RVA10581,Model2,Data1,1,Fold1
Term158,1.0,RVA10578,Model2,Data1,1,Fold1
Term159,1.0,RVA10499,Model2,Data1,1,Fold1
Term160,1.0,RVA10577,Model2,Data1,1,Fold1
Term160,1.0,RVA778,Model2,Data1,1,Fold1
Term161,1.0,RVA10608,Model2,Data1,1,Fold1
Term162,1.0,RVA10584,Model2,Data1,1,Fold1
Term163,1.0,RVA10644,Model2,Data1,1,Fold1
Term164,1.0,RVA10593,Model2,Data1,1,Fold1
Term164,1.0,RVA9560,Model2,Data1,1,Fold1
Term165,1.0,RVA10644,Model2,Data1,1,Fold1
Term166,1.0,RVA10644,Model2,Data1,1,Fold1
Term167,1.0,RVA10607,Model2,Data1,1,Fold1
Term168,1.0,RVA10618,Model2,Data1,1,Fold1
Term169,1.0,RVA10616,Model2,Data1,1,Fold1
Term170,1.0,RVA10350,Model2,Data1,1,Fold1
Term170,1.0,RVA724,Model2,Data1,1,Fold1
Term171,1.0,RVA10643,Model2,Data1,1,Fold1
Term172,1.0,RVA10644,Model2,Data1,1,Fold1
Term173,1.0,RVA10644,Model2,Data1,1,Fold1
Term174,1.0,RVA10638,Model2,Data1,1,Fold1
Term175,1.0,RVA10642,Model2,Data1,1,Fold1
Term176,1.0,RVA10612,Model2,Data1,1,Fold1
Term176,1.0,RVA9558,Model2,Data1,1,Fold1
Term177,1.0,RVA10641,Model2,Data1,1,Fold1
Term178,1.0,RVA9751,Model2,Data1,1,Fold1
Term179,1.0,RVA9758,Model2,Data1,1,Fold1
Term180,1.0,RVA9731,Model2,Data1,1,Fold1
Term181,1.0,RVA10590,Model2,Data1,1,Fold1
Term182,1.0,RVA9756,Model2,Data1,1,Fold1
Term183,1.0,RVA9754,Model2,Data1,1,Fold1
Term184,1.0,RVA9781,Model2,Data1,1,Fold1
Term184,1.0,RVA844,Model2,Data1,1,Fold1
Term185,1.0,RVA9785,Model2,Data1,1,Fold1
Term186,1.0,RVA10491,Model2,Data1,1,Fold1
Term186,1.0,RVA845,Model2,Data1,1,Fold1
Term187,1.0,RVA9786,Model2,Data1,1,Fold1
Term188,1.0,RVA10493,Model2,Data1,1,Fold1
Term188,1.0,RVA9557,Model2,Data1,1,Fold1
Term189,1.0,RVA9820,Model2,Data1,1,Fold1
Term190,1.0,RVA9789,Model2,Data1,1,Fold1
Term190,1.0,RVA5710,Model2,Data1,1,Fold1
Term191,1.0,RVA9821,Model2,Data1,1,Fold1
Term192,1.0,RVA9827,Model2,Data1,1,Fold1
Term193,1.0,RVA9831,Model2,Data1,1,Fold1
Term194,1.0,RVA9828,Model2,Data1,1,Fold1
Term195,1.0,RVA9822,Model2,Data1,1,Fold1
Term196,1.0,RVA9755,Model2,Data1,1,Fold1
Term196,1.0,RVA9560,Model2,Data1,1,Fold1
Term197,1.0,RVA9735,Model2,Data1,1,Fold1
Term198,1.0,RVA10639,Model2,Data1,1,Fold1
Term199,1.0,RVA9825,Model2,Data1,1,Fold1
Term200,1.0,RVA9824,Model2,Data1,1,Fold1
Term201,1.0,RVA9824,Model2,Data1,1,Fold1
Term202,1.0,RVA9826,Model2,Data1,1,Fold1
Term203,1.0,RVA9824,Model2,Data1,1,Fold1
Term204,1.0,RVA9864,Model2,Data1,1,Fold1
Term205,1.0,RVA9865,Model2,Data1,1,Fold1
Term205,1.0,RVA844,Model2,Data1,1,Fold1
Term206,1.0,RVA9873,Model2,Data1,1,Fold1
Term206,1.0,RVA724,Model2,Data1,1,Fold1
Term207,1.0,RVA9865,Model2,Data1,1,Fold1
Term207,1.0,RVA845,Model2,Data1,1,Fold1
Term208,1.0,RVA9867,Model2,Data1,1,Fold1
Term209,1.0,RVA9870,Model2,Data1,1,Fold1
Term210,1.0,RVA9863,Model2,Data1,1,Fold1
Term210,1.0,RVA8355,Model2,Data1,1,Fold1
Term211,1.0,RVA9893,Model2,Data1,1,Fold1
Term212,1.0,RVA9895,Model2,Data1,1,Fold1
Term212,1.0,RVA5710,Model2,Data1,1,Fold1
Term213,1.0,RVA9900,Model2,Data1,1,Fold1
Term213,1.0,RVA5710,Model2,Data1,1,Fold1
Term214,1.0,RVA9894,Model2,Data1,1,Fold1
Term215,1.0,RVA9896,Model2,Data1,1,Fold1
Term216,1.0,RVA9938,Model2,Data1,1,Fold1
Term217,1.0,RVA9869,Model2,Data1,1,Fold1
Term217,1.0,RVA8355,Model2,Data1,1,Fold1
Term218,1.0,RVA9936,Model2,Data1,1,Fold1
Term219,1.0,RVA9871,Model2,Data1,1,Fold1
Term220,1.0,RVA9935,Model2,Data1,1,Fold1
Term221,1.0,RVA9965,Model2,Data1,1,Fold1
Term222,1.0,RVA9939,Model2,Data1,1,Fold1
Term223,1.0,RVA9963,Model2,Data1,1,Fold1
Term223,1.0,RVA848,Model2,Data1,1,Fold1
Term224,1.0,RVA9934,Model2,Data1,1,Fold1
Term224,1.0,RVA8355,Model2,Data1,1,Fold1
Term225,1.0,RVA9963,Model2,Data1,1,Fold1
Term225,1.0,RVA845,Model2,Data1,1,Fold1
Term226,1.0,RVA9971,Model2,Data1,1,Fold1
Term227,1.0,RVA10054,Model2,Data1,1,Fold1
Term228,1.0,RVA10060,Model2,Data1,1,Fold1
Term229,1.0,RVA9961,Model2,Data1,1,Fold1
Term229,1.0,RVA9558,Model2,Data1,1,Fold1
Term230,1.0,RVA10055,Model2,Data1,1,Fold1
Term231,1.0,RVA10086,Model2,Data1,1,Fold1
Term232,1.0,RVA10065,Model2,Data1,1,Fold1
Term232,1.0,RVA778,Model2,Data1,1,Fold1
Term233,1.0,RVA9963,Model2,Data1,1,Fold1
Term233,1.0,RVA754,Model2,Data1,1,Fold1
Term234,1.0,RVA10082,Model2,Data1,1,Fold1
Term235,1.0,RVA10083,Model2,Data1,1,Fold1
Term235,1.0,RVA5710,Model2,Data1,1,Fold1
Term236,1.0,RVA10089,Model2,Data1,1,Fold1
Term237,1.0,RVA10117,Model2,Data1,1,Fold1
Term237,1.0,RVA8350,Model2,Data1,1,Fold1
Term238,1.0,RVA10113,Model2,Data1,1,Fold1
Term239,1.0,RVA10113,Model2,Data1,1,Fold1
Term240,1.0,RVA10051,Model2,Data1,1,Fold1
Term241,1.0,RVA10116,Model2,Data1,1,Fold1
Term242,1.0,RVA10113,Model2,Data1,1,Fold1
Term243,1.0,RVA10062,Model2,Data1,1,Fold1
Term243,1.0,RVA8350,Model2,Data1,1,Fold1
Term244,1.0,RVA10111,Model2,Data1,1,Fold1
Term245,1.0,RVA10124,Model2,Data1,1,Fold1
Term245,1.0,RVA5710,Model2,Data1,1,Fold1
Term246,1.0,RVA10114,Model2,Data1,1,Fold1
Term246,1.0,RVA8356,Model2,Data1,1,Fold1
Term247,1.0,RVA10153,Model2,Data1,1,Fold1
Term248,1.0,RVA10056,Model2,Data1,1,Fold1
Term248,1.0,RVA9558,Model2,Data1,1,Fold1
Term249,1.0,RVA10153,Model2,Data1,1,Fold1
Term249,1.0,RVA9558,Model2,Data1,1,Fold1
Term250,1.0,RVA10156,Model2,Data1,1,Fold1
Term251,1.0,RVA10060,Model2,Data1,1,Fold1
Term252,1.0,RVA10152,Model2,Data1,1,Fold1
Term253,1.0,RVA10153,Model2,Data1,1,Fold1
Term254,1.0,RVA10153,Model2,Data1,1,Fold1
Term255,1.0,RVA10189,Model2,Data1,1,Fold1
Term256,1.0,RVA10181,Model2,Data1,1,Fold1
Term256,1.0,RVA724,Model2,Data1,1,Fold1
Term257,1.0,RVA10186,Model2,Data1,1,Fold1
Term258,1.0,RVA10132,Model2,Data1,1,Fold1
Term259,1.0,RVA9246,Model2,Data1,1,Fold1
Term260,1.0,RVA10128,Model2,Data1,1,Fold1
Term260,1.0,RVA5710,Model2,Data1,1,Fold1
Term261,1.0,RVA9269,Model2,Data1,1,Fold1
Term262,1.0,RVA9267,Model2,Data1,1,Fold1
Term263,1.0,RVA10132,Model2,Data1,1,Fold1
Term264,1.0,RVA10132,Model2,Data1,1,Fold1
Term265,1.0,RVA9263,Model2,Data1,1,Fold1
Term266,1.0,RVA9263,Model2,Data1,1,Fold1
Term266,1.0,RVA9560,Model2,Data1,1,Fold1
Term267,1.0,RVA9264,Model2,Data1,1,Fold1
Term268,1.0,RVA9263,Model2,Data1,1,Fold1
Term269,1.0,RVA9261,Model2,Data1,1,Fold1
Term270,1.0,RVA9263,Model2,Data1,1,Fold1
Term271,1.0,RVA9300,Model2,Data1,1,Fold1
Term272,1.0,RVA9267,Model2,Data1,1,Fold1
Term273,1.0,RVA9309,Model2,Data1,1,Fold1
Term274,1.0,RVA9301,Model2,Data1,1,Fold1
Term274,1.0,RVA5710,Model2,Data1,1,Fold1
Term275,1.0,RVA9308,Model2,Data1,1,Fold1
Term276,1.0,RVA9306,Model2,Data1,1,Fold1
Term277,1.0,RVA10184,Model2,Data1,1,Fold1
Term277,1.0,RVA845,Model2,Data1,1,Fold1
Term278,1.0,RVA9305,Model2,Data1,1,Fold1
Term279,1.0,RVA9305,Model2,Data1,1,Fold1
Term280,1.0,RVA9260,Model2,Data1,1,Fold1
Term280,1.0,RVA844,Model2,Data1,1,Fold1
Term281,1.0,RVA9338,Model2,Data1,1,Fold1
Term282,1.0,RVA9339,Model2,Data1,1,Fold1
Term283,1.0,RVA9346,Model2,Data1,1,Fold1
Term284,1.0,RVA10185,Model2,Data1,1,Fold1
Term285,1.0,RVA9346,Model2,Data1,1,Fold1
Term286,1.0,RVA9392,Model2,Data1,1,Fold1
Term287,1.0,RVA10188,Model2,Data1,1,Fold1
Term288,1.0,RVA9343,Model2,Data1,1,Fold1
Term289,1.0,RVA9391,Model2,Data1,1,Fold1
Term290,1.0,RVA9394,Model2,Data1,1,Fold1
Term291,1.0,RVA9393,Model2,Data1,1,Fold1
Term291,1.0,RVA5710,Model2,Data1,1,Fold1
Term292,1.0,RVA9400,Model2,Data1,1,Fold1
Term293,1.0,RVA9396,Model2,Data1,1,Fold1
Term294,1.0,RVA9398,Model2,Data1,1,Fold1
Term295,1.0,RVA9395,Model2,Data1,1,Fold1
Term296,1.0,RVA9431,Model2,Data1,1,Fold1
Term297,1.0,RVA9425,Model2,Data1,1,Fold1
Term298,1.0,RVA9428,Model2,Data1,1,Fold1
Term299,1.0,RVA9427,Model2,Data1,1,Fold1
Term300,1.0,RVA9346,Model2,Data1,1,Fold1
Term301,1.0,RVA9431,Model2,Data1,1,Fold1
Term302,1.0,RVA9563,Model2,Data1,1,Fold1
Term303,1.0,RVA9562,Model2,Data1,1,Fold1
Term304,1.0,RVA9564,Model2,Data1,1,Fold1
Term305,1.0,RVA9339,Model2,Data1,1,Fold1
Term306,1.0,RVA9565,Model2,Data1,1,Fold1
Term307,1.0,RVA9567,Model2,Data1,1,Fold1
Term307,1.0,RVA724,Model2,Data1,1,Fold1
Term308,1.0,RVA9571,Model2,Data1,1,Fold1
Term308,1.0,RVA5710,Model2,Data1,1,Fold1
Term309,1.0,RVA9585,Model2,Data1,1,Fold1
Term309,1.0,RVA5710,Model2,Data1,1,Fold1
Term310,1.0,RVA9565,Model2,Data1,1,Fold1
Term310,1.0,RVA9555,Model2,Data1,1,Fold1
Term311,1.0,RVA9565,Model2,Data1,1,Fold1
Term312,1.0,RVA9584,Model2,Data1,1,Fold1
Term313,1.0,RVA9307,Model2,Data1,1,Fold1
Term313,1.0,RVA778,Model2,Data1,1,Fold1
Term314,1.0,RVA9583,Model2,Data1,1,Fold1
Term315,1.0,RVA9571,Model2,Data1,1,Fold1
Term316,1.0,RVA9565,Model2,Data1,1,Fold1
Term316,1.0,RVA849,Model2,Data1,1,Fold1
Term317,1.0,RVA9588,Model2,Data1,1,Fold1
Term318,1.0,RVA9581,Model2,Data1,1,Fold1
Term319,1.0,RVA9581,Model2,Data1,1,Fold1
Term320,1.0,RVA9587,Model2,Data1,1,Fold1
Term321,1.0,RVA9391,Model2,Data1,1,Fold1
Term321,1.0,RVA8405,Model2,Data1,1,Fold1
Term322,1.0,RVA9605,Model2,Data1,1,Fold1
Term323,1.0,RVA9602,Model2,Data1,1,Fold1
Term323,1.0,RVA777,Model2,Data1,1,Fold1
Term324,1.0,RVA9430,Model2,Data1,1,Fold1
Term325,1.0,RVA9609,Model2,Data1,1,Fold1
Term326,1.0,RVA9605,Model2,Data1,1,Fold1
Term327,1.0,RVA9609,Model2,Data1,1,Fold1
Term327,1.0,RVA8356,Model2,Data1,1,Fold1
Term328,1.0,RVA9607,Model2,Data1,1,Fold1
Term328,1.0,RVA9557,Model2,Data1,1,Fold1
Term329,1.0,RVA9602,Model2,Data1,1,Fold1
Term330,1.0,RVA9633,Model2,Data1,1,Fold1
Term331,1.0,RVA9636,Model2,Data1,1,Fold1
Term332,1.0,RVA9632,Model2,Data1,1,Fold1
Term332,1.0,RVA8368,Model2,Data1,1,Fold1
Term333,1.0,RVA9632,Model2,Data1,1,Fold1
Term333,1.0,RVA9558,Model2,Data1,1,Fold1
Term334,1.0,RVA9641,Model2,Data1,1,Fold1
Term335,1.0,RVA9655,Model2,Data1,1,Fold1
Term336,1.0,RVA9651,Model2,Data1,1,Fold1
Term337,1.0,RVA9346,Model2,Data1,1,Fold1
Term337,1.0,RVA777,Model2,Data1,1,Fold1
Term338,1.0,RVA9656,Model2,Data1,1,Fold1
Term339,1.0,RVA9650,Model2,Data1,1,Fold1
Term340,1.0,RVA9653,Model2,Data1,1,Fold1
Term341,1.0,RVA9680,Model2,Data1,1,Fold1
Term342,1.0,RVA9632,Model2,Data1,1,Fold1
Term342,1.0,RVA5710,Model2,Data1,1,Fold1
Term343,1.0,RVA9688,Model2,Data1,1,Fold1
Term344,1.0,RVA9688,Model2,Data1,1,Fold1
Term344,1.0,RVA9558,Model2,Data1,1,Fold1
Term345,1.0,RVA9686,Model2,Data1,1,Fold1
Term346,1.0,RVA9635,Model2,Data1,1,Fold1
Term347,1.0,RVA9682,Model2,Data1,1,Fold1
Term348,1.0,RVA9609,Model2,Data1,1,Fold1
Term349,1.0,RVA9683,Model2,Data1,1,Fold1
Term349,1.0,RVA8356,Model2,Data1,1,Fold1
Term350,1.0,RVA9685,Model2,Data1,1,Fold1
Term351,1.0,RVA9683,Model2,Data1,1,Fold1
Term352,1.0,RVA9681,Model2,Data1,1,Fold1
Term352,1.0,RVA724,Model2,Data1,1,Fold1
Term353,1.0,RVA9710,Model2,Data1,1,Fold1
Term354,1.0,RVA9710,Model2,Data1,1,Fold1
Term354,1.0,RVA9560,Model2,Data1,1,Fold1
Term355,1.0,RVA9710,Model2,Data1,1,Fold1
Term356,1.0,RVA9715,Model2,Data1,1,Fold1
Term357,1.0,RVA9717,Model2,Data1,1,Fold1
Term358,1.0,RVA9715,Model2,Data1,1,Fold1
Term359,1.0,RVA9718,Model2,Data1,1,Fold1
Term359,1.0,RVA778,Model2,Data1,1,Fold1
Term360,1.0,RVA9639,Model2,Data1,1,Fold1
Term360,1.0,RVA846,Model2,Data1,1,Fold1
Term361,1.0,RVA9710,Model2,Data1,1,Fold1
Term362,1.0,RVA9713,Model2,Data1,1,Fold1
Term363,1.0,RVA12651,Model2,Data1,1,Fold1
Term364,1.0,RVA12647,Model2,Data1,1,Fold1
Term365,1.0,RVA9712,Model2,Data1,1,Fold1
Term365,1.0,RVA5710,Model2,Data1,1,Fold1
Term366,1.0,RVA9711,Model2,Data1,1,Fold1
Term367,1.0,RVA12686,Model2,Data1,1,Fold1
Term368,1.0,RVA12688,Model2,Data1,1,Fold1
Term369,1.0,RVA12722,Model2,Data1,1,Fold1
Term370,1.0,RVA12720,Model2,Data1,1,Fold1
Term371,1.0,RVA12641,Model2,Data1,1,Fold1
Term371,1.0,RVA845,Model2,Data1,1,Fold1
Term372,1.0,RVA12719,Model2,Data1,1,Fold1
Term373,1.0,RVA12649,Model2,Data1,1,Fold1
Term373,1.0,RVA8378,Model2,Data1,1,Fold1
Term374,1.0,RVA12719,Model2,Data1,1,Fold1
Term375,1.0,RVA12718,Model2,Data1,1,Fold1
Term376,1.0,RVA12724,Model2,Data1,1,Fold1
Term376,1.0,RVA5710,Model2,Data1,1,Fold1
Term377,1.0,RVA12723,Model2,Data1,1,Fold1
Term378,1.0,RVA12725,Model2,Data1,1,Fold1
Term379,1.0,RVA12858,Model2,Data1,1,Fold1
Term380,1.0,RVA12860,Model2,Data1,1,Fold1
Term381,1.0,RVA12690,Model2,Data1,1,Fold1
Term381,1.0,RVA8355,Model2,Data1,1,Fold1
Term382,1.0,RVA12858,Model2,Data1,1,Fold1
Term383,1.0,RVA12850,Model2,Data1,1,Fold1
