id,name,subClassOf,Model,Dataset,Fold_number,fold_id,value
RVA48,USERCREDLAT(35),Atom5,Model2,Data1,1,Fold1,0.0
RVA49,USERCREDLAT(34),Atom5,Model2,Data1,1,Fold1,1.0
RVA50,USERCREDLAT(33),Atom5,Model2,Data1,1,Fold1,0.662
RVA51,USERCREDLAT(43),Atom5,Model2,Data1,1,Fold1,1.0
RVA52,USERCREDLAT(42),Atom5,Model2,Data1,1,Fold1,0.0
RVA53,USERCREDLAT(41),Atom5,Model2,Data1,1,Fold1,1.0
RVA54,USERCREDLAT(12590),Atom5,Model2,Data1,1,Fold1,1.0
RVA55,USERCREDLAT(40),Atom5,Model2,Data1,1,Fold1,1.0
RVA56,USERCREDLAT(11260),Atom5,Model2,Data1,1,Fold1,0.0
RVA57,USERCREDLAT(12592),Atom5,Model2,Data1,1,Fold1,1.0
RVA58,USERCREDLAT(11261),Atom5,Model2,Data1,1,Fold1,0.019
RVA59,USERCREDLAT(12591),Atom5,Model2,Data1,1,Fold1,0.0
RVA60,USERCREDLAT(11262),Atom5,Model2,Data1,1,Fold1,0.0
RVA61,USERCREDLAT(12594),Atom5,Model2,Data1,1,Fold1,1.0
RVA62,USERCREDLAT(11263),Atom5,Model2,Data1,1,Fold1,0.0
RVA63,USERCREDLAT(12593),Atom5,Model2,Data1,1,Fold1,1.0
RVA64,USERCREDLAT(11264),Atom5,Model2,Data1,1,Fold1,0.022
RVA65,USERCREDLAT(12596),Atom5,Model2,Data1,1,Fold1,1.0
RVA66,USERCREDLAT(11265),Atom5,Model2,Data1,1,Fold1,0.0
RVA67,USERCREDLAT(12595),Atom5,Model2,Data1,1,Fold1,0.0
RVA68,USERCREDLAT(11266),Atom5,Model2,Data1,1,Fold1,0.0
RVA69,USERCREDLAT(12598),Atom5,Model2,Data1,1,Fold1,0.0
RVA70,USERCREDLAT(49),Atom5,Model2,Data1,1,Fold1,1.0
RVA71,USERCREDLAT(48),Atom5,Model2,Data1,1,Fold1,0.0
RVA72,USERCREDLAT(11267),Atom5,Model2,Data1,1,Fold1,0.0
RVA73,USERCREDLAT(12597),Atom5,Model2,Data1,1,Fold1,0.0
RVA74,USERCREDLAT(47),Atom5,Model2,Data1,1,Fold1,1.0
RVA75,USERCREDLAT(11268),Atom5,Model2,Data1,1,Fold1,1.0
RVA76,USERCREDLAT(12599),Atom5,Model2,Data1,1,Fold1,0.0
RVA77,USERCREDLAT(46),Atom5,Model2,Data1,1,Fold1,1.0
RVA78,USERCREDLAT(11269),Atom5,Model2,Data1,1,Fold1,1.0
RVA79,USERCREDLAT(45),Atom5,Model2,Data1,1,Fold1,0.043
RVA80,USERCREDLAT(44),Atom5,Model2,Data1,1,Fold1,0.0
RVA81,USERCREDLAT(54),Atom5,Model2,Data1,1,Fold1,1.0
RVA82,USERCREDLAT(53),Atom5,Model2,Data1,1,Fold1,0.0
RVA83,USERCREDLAT(52),Atom5,Model2,Data1,1,Fold1,0.771
RVA84,USERCREDLAT(51),Atom5,Model2,Data1,1,Fold1,0.682
RVA85,USERCREDLAT(11270),Atom5,Model2,Data1,1,Fold1,0.0
RVA86,USERCREDLAT(50),Atom5,Model2,Data1,1,Fold1,1.0
RVA87,USERCREDLAT(11271),Atom5,Model2,Data1,1,Fold1,1.0
RVA88,USERCREDLAT(11272),Atom5,Model2,Data1,1,Fold1,1.0
RVA89,USERCREDLAT(11273),Atom5,Model2,Data1,1,Fold1,1.0
RVA90,USERCREDLAT(11274),Atom5,Model2,Data1,1,Fold1,1.0
RVA91,USERCREDLAT(11275),Atom5,Model2,Data1,1,Fold1,0.0
RVA92,USERCREDLAT(11276),Atom5,Model2,Data1,1,Fold1,1.0
RVA93,USERCREDLAT(11277),Atom5,Model2,Data1,1,Fold1,0.0
RVA94,USERCREDLAT(11278),Atom5,Model2,Data1,1,Fold1,0.0
RVA95,USERCREDLAT(59),Atom5,Model2,Data1,1,Fold1,1.0
RVA96,USERCREDLAT(58),Atom5,Model2,Data1,1,Fold1,1.0
RVA97,USERCREDLAT(11279),Atom5,Model2,Data1,1,Fold1,1.0
RVA98,USERCREDLAT(57),Atom5,Model2,Data1,1,Fold1,0.022
RVA99,USERCREDLAT(56),Atom5,Model2,Data1,1,Fold1,1.0
RVA100,USERCREDLAT(55),Atom5,Model2,Data1,1,Fold1,1.0
RVA101,USERCREDLAT(65),Atom5,Model2,Data1,1,Fold1,1.0
RVA102,USERCREDLAT(64),Atom5,Model2,Data1,1,Fold1,1.0
RVA103,USERCREDLAT(63),Atom5,Model2,Data1,1,Fold1,1.0
RVA104,USERCREDLAT(62),Atom5,Model2,Data1,1,Fold1,1.0
RVA105,USERCREDLAT(61),Atom5,Model2,Data1,1,Fold1,1.0
RVA106,USERCREDLAT(12570),Atom5,Model2,Data1,1,Fold1,1.0
RVA107,USERCREDLAT(60),Atom5,Model2,Data1,1,Fold1,1.0
RVA108,USERCREDLAT(11240),Atom5,Model2,Data1,1,Fold1,1.0
RVA109,USERCREDLAT(12572),Atom5,Model2,Data1,1,Fold1,1.0
RVA110,USERCREDLAT(11241),Atom5,Model2,Data1,1,Fold1,0.0
RVA111,USERCREDLAT(12571),Atom5,Model2,Data1,1,Fold1,0.0
RVA112,USERCREDLAT(11242),Atom5,Model2,Data1,1,Fold1,0.0
RVA113,USERCREDLAT(12574),Atom5,Model2,Data1,1,Fold1,0.0
RVA114,USERCREDLAT(11243),Atom5,Model2,Data1,1,Fold1,0.0
RVA115,USERCREDLAT(12573),Atom5,Model2,Data1,1,Fold1,0.0
RVA116,USERCREDLAT(11244),Atom5,Model2,Data1,1,Fold1,0.357
RVA117,USERCREDLAT(12576),Atom5,Model2,Data1,1,Fold1,1.0
RVA118,USERCREDLAT(11245),Atom5,Model2,Data1,1,Fold1,1.0
RVA119,USERCREDLAT(12575),Atom5,Model2,Data1,1,Fold1,1.0
RVA120,USERCREDLAT(11246),Atom5,Model2,Data1,1,Fold1,0.662
RVA121,USERCREDLAT(69),Atom5,Model2,Data1,1,Fold1,1.0
RVA122,USERCREDLAT(12578),Atom5,Model2,Data1,1,Fold1,1.0
RVA123,USERCREDLAT(68),Atom5,Model2,Data1,1,Fold1,0.022
RVA124,USERCREDLAT(12577),Atom5,Model2,Data1,1,Fold1,0.0
RVA125,USERCREDLAT(11247),Atom5,Model2,Data1,1,Fold1,1.0
RVA126,USERCREDLAT(67),Atom5,Model2,Data1,1,Fold1,0.985
RVA127,USERCREDLAT(11248),Atom5,Model2,Data1,1,Fold1,0.907
RVA128,USERCREDLAT(66),Atom5,Model2,Data1,1,Fold1,1.0
RVA129,USERCREDLAT(11249),Atom5,Model2,Data1,1,Fold1,1.0
RVA130,USERCREDLAT(12579),Atom5,Model2,Data1,1,Fold1,1.0
RVA131,USERCREDLAT(11239),Atom5,Model2,Data1,1,Fold1,1.0
RVA132,USERCREDLAT(76),Atom5,Model2,Data1,1,Fold1,1.0
RVA133,USERCREDLAT(75),Atom5,Model2,Data1,1,Fold1,0.0
RVA134,USERCREDLAT(74),Atom5,Model2,Data1,1,Fold1,0.506
RVA135,USERCREDLAT(73),Atom5,Model2,Data1,1,Fold1,1.0
RVA136,USERCREDLAT(72),Atom5,Model2,Data1,1,Fold1,0.233
RVA137,USERCREDLAT(12581),Atom5,Model2,Data1,1,Fold1,1.0
RVA138,USERCREDLAT(12580),Atom5,Model2,Data1,1,Fold1,0.0
RVA139,USERCREDLAT(71),Atom5,Model2,Data1,1,Fold1,1.0
RVA140,USERCREDLAT(11250),Atom5,Model2,Data1,1,Fold1,1.0
RVA141,USERCREDLAT(12583),Atom5,Model2,Data1,1,Fold1,0.0
RVA142,USERCREDLAT(70),Atom5,Model2,Data1,1,Fold1,1.0
RVA143,USERCREDLAT(11251),Atom5,Model2,Data1,1,Fold1,1.0
RVA144,USERCREDLAT(11252),Atom5,Model2,Data1,1,Fold1,0.031
RVA145,USERCREDLAT(12582),Atom5,Model2,Data1,1,Fold1,0.771
RVA146,USERCREDLAT(11253),Atom5,Model2,Data1,1,Fold1,1.0
RVA147,USERCREDLAT(12585),Atom5,Model2,Data1,1,Fold1,1.0
RVA148,USERCREDLAT(12584),Atom5,Model2,Data1,1,Fold1,0.0
RVA149,USERCREDLAT(11254),Atom5,Model2,Data1,1,Fold1,1.0
RVA150,USERCREDLAT(11255),Atom5,Model2,Data1,1,Fold1,1.0
RVA151,USERCREDLAT(12587),Atom5,Model2,Data1,1,Fold1,1.0
RVA152,USERCREDLAT(11256),Atom5,Model2,Data1,1,Fold1,0.0
RVA153,USERCREDLAT(12586),Atom5,Model2,Data1,1,Fold1,0.0
RVA154,USERCREDLAT(11257),Atom5,Model2,Data1,1,Fold1,1.0
RVA155,USERCREDLAT(12589),Atom5,Model2,Data1,1,Fold1,1.0
RVA156,USERCREDLAT(79),Atom5,Model2,Data1,1,Fold1,0.0
RVA157,USERCREDLAT(11258),Atom5,Model2,Data1,1,Fold1,0.713
RVA158,USERCREDLAT(12588),Atom5,Model2,Data1,1,Fold1,1.0
RVA159,USERCREDLAT(78),Atom5,Model2,Data1,1,Fold1,0.0
RVA160,USERCREDLAT(11259),Atom5,Model2,Data1,1,Fold1,0.0
RVA161,USERCREDLAT(77),Atom5,Model2,Data1,1,Fold1,0.0
RVA162,USERCREDLAT(87),Atom5,Model2,Data1,1,Fold1,1.0
RVA163,USERCREDLAT(86),Atom5,Model2,Data1,1,Fold1,1.0
RVA164,USERCREDLAT(85),Atom5,Model2,Data1,1,Fold1,0.0
RVA165,USERCREDLAT(84),Atom5,Model2,Data1,1,Fold1,1.0
RVA166,USERCREDLAT(83),Atom5,Model2,Data1,1,Fold1,0.0
RVA167,USERCREDLAT(82),Atom5,Model2,Data1,1,Fold1,0.0
RVA168,USERCREDLAT(81),Atom5,Model2,Data1,1,Fold1,0.0
RVA169,USERCREDLAT(80),Atom5,Model2,Data1,1,Fold1,0.0
RVA170,USERCREDLAT(89),Atom5,Model2,Data1,1,Fold1,0.0
RVA171,USERCREDLAT(88),Atom5,Model2,Data1,1,Fold1,0.017
RVA172,USERCREDLAT(90),Atom5,Model2,Data1,1,Fold1,1.0
RVA173,USERCREDLAT(98),Atom5,Model2,Data1,1,Fold1,1.0
RVA174,USERCREDLAT(97),Atom5,Model2,Data1,1,Fold1,1.0
RVA175,USERCREDLAT(96),Atom5,Model2,Data1,1,Fold1,0.0
RVA176,USERCREDLAT(95),Atom5,Model2,Data1,1,Fold1,0.0
RVA177,USERCREDLAT(94),Atom5,Model2,Data1,1,Fold1,0.0
RVA178,USERCREDLAT(93),Atom5,Model2,Data1,1,Fold1,0.037
RVA179,USERCREDLAT(92),Atom5,Model2,Data1,1,Fold1,1.0
RVA180,USERCREDLAT(91),Atom5,Model2,Data1,1,Fold1,0.0
RVA181,USERCREDLAT(3809),Atom5,Model2,Data1,1,Fold1,0.0
RVA182,USERCREDLAT(3808),Atom5,Model2,Data1,1,Fold1,0.0
RVA183,USERCREDLAT(3807),Atom5,Model2,Data1,1,Fold1,0.771
RVA184,USERCREDLAT(3806),Atom5,Model2,Data1,1,Fold1,0.0
RVA185,USERCREDLAT(3805),Atom5,Model2,Data1,1,Fold1,0.033
RVA186,USERCREDLAT(3804),Atom5,Model2,Data1,1,Fold1,1.0
RVA187,USERCREDLAT(99),Atom5,Model2,Data1,1,Fold1,0.0
RVA188,USERCREDLAT(3803),Atom5,Model2,Data1,1,Fold1,0.033
RVA189,USERCREDLAT(3802),Atom5,Model2,Data1,1,Fold1,1.0
RVA190,USERCREDLAT(3801),Atom5,Model2,Data1,1,Fold1,1.0
RVA191,USERCREDLAT(3800),Atom5,Model2,Data1,1,Fold1,1.0
RVA192,USERCREDLAT(3819),Atom5,Model2,Data1,1,Fold1,1.0
RVA193,USERCREDLAT(3818),Atom5,Model2,Data1,1,Fold1,1.0
RVA194,USERCREDLAT(3817),Atom5,Model2,Data1,1,Fold1,1.0
RVA195,USERCREDLAT(3816),Atom5,Model2,Data1,1,Fold1,0.0
RVA196,USERCREDLAT(3815),Atom5,Model2,Data1,1,Fold1,0.0
RVA197,USERCREDLAT(3814),Atom5,Model2,Data1,1,Fold1,0.033
RVA198,USERCREDLAT(3813),Atom5,Model2,Data1,1,Fold1,1.0
RVA199,USERCREDLAT(3812),Atom5,Model2,Data1,1,Fold1,0.0
RVA200,USERCREDLAT(3811),Atom5,Model2,Data1,1,Fold1,0.0
RVA201,USERCREDLAT(3810),Atom5,Model2,Data1,1,Fold1,0.0
RVA202,USERCREDLAT(3829),Atom5,Model2,Data1,1,Fold1,0.713
RVA203,USERCREDLAT(3828),Atom5,Model2,Data1,1,Fold1,1.0
RVA204,USERCREDLAT(3827),Atom5,Model2,Data1,1,Fold1,1.0
RVA205,USERCREDLAT(3826),Atom5,Model2,Data1,1,Fold1,1.0
RVA206,USERCREDLAT(3825),Atom5,Model2,Data1,1,Fold1,0.0
RVA207,USERCREDLAT(3824),Atom5,Model2,Data1,1,Fold1,0.0
RVA208,USERCREDLAT(3823),Atom5,Model2,Data1,1,Fold1,0.0
RVA209,USERCREDLAT(3822),Atom5,Model2,Data1,1,Fold1,1.0
RVA210,USERCREDLAT(3821),Atom5,Model2,Data1,1,Fold1,0.0
RVA211,USERCREDLAT(3820),Atom5,Model2,Data1,1,Fold1,0.0
RVA212,USERCREDLAT(2509),Atom5,Model2,Data1,1,Fold1,0.0
RVA213,USERCREDLAT(2507),Atom5,Model2,Data1,1,Fold1,0.987
RVA214,USERCREDLAT(3839),Atom5,Model2,Data1,1,Fold1,0.0
RVA215,USERCREDLAT(2508),Atom5,Model2,Data1,1,Fold1,0.662
RVA216,USERCREDLAT(3838),Atom5,Model2,Data1,1,Fold1,0.0
RVA217,USERCREDLAT(2505),Atom5,Model2,Data1,1,Fold1,0.0
RVA218,USERCREDLAT(3837),Atom5,Model2,Data1,1,Fold1,1.0
RVA219,USERCREDLAT(2506),Atom5,Model2,Data1,1,Fold1,0.0
RVA220,USERCREDLAT(3836),Atom5,Model2,Data1,1,Fold1,1.0
RVA221,USERCREDLAT(2503),Atom5,Model2,Data1,1,Fold1,0.357
RVA222,USERCREDLAT(3835),Atom5,Model2,Data1,1,Fold1,0.022
RVA223,USERCREDLAT(3834),Atom5,Model2,Data1,1,Fold1,0.662
RVA224,USERCREDLAT(2504),Atom5,Model2,Data1,1,Fold1,1.0
RVA225,USERCREDLAT(2501),Atom5,Model2,Data1,1,Fold1,0.662
RVA226,USERCREDLAT(3833),Atom5,Model2,Data1,1,Fold1,1.0
RVA227,USERCREDLAT(2502),Atom5,Model2,Data1,1,Fold1,0.0
RVA228,USERCREDLAT(3832),Atom5,Model2,Data1,1,Fold1,1.0
RVA229,USERCREDLAT(3831),Atom5,Model2,Data1,1,Fold1,1.0
RVA230,USERCREDLAT(2500),Atom5,Model2,Data1,1,Fold1,1.0
RVA231,USERCREDLAT(3830),Atom5,Model2,Data1,1,Fold1,1.0
RVA232,USERCREDLAT(2518),Atom5,Model2,Data1,1,Fold1,0.0
RVA233,USERCREDLAT(2519),Atom5,Model2,Data1,1,Fold1,0.0
RVA234,USERCREDLAT(3849),Atom5,Model2,Data1,1,Fold1,1.0
RVA235,USERCREDLAT(2516),Atom5,Model2,Data1,1,Fold1,0.031
RVA236,USERCREDLAT(3848),Atom5,Model2,Data1,1,Fold1,1.0
RVA237,USERCREDLAT(3847),Atom5,Model2,Data1,1,Fold1,0.962
RVA238,USERCREDLAT(2517),Atom5,Model2,Data1,1,Fold1,1.0
RVA239,USERCREDLAT(2514),Atom5,Model2,Data1,1,Fold1,0.713
RVA240,USERCREDLAT(3846),Atom5,Model2,Data1,1,Fold1,1.0
RVA241,USERCREDLAT(3845),Atom5,Model2,Data1,1,Fold1,0.971
RVA242,USERCREDLAT(2515),Atom5,Model2,Data1,1,Fold1,1.0
RVA243,USERCREDLAT(3844),Atom5,Model2,Data1,1,Fold1,0.0
RVA244,USERCREDLAT(2512),Atom5,Model2,Data1,1,Fold1,1.0
RVA245,USERCREDLAT(2513),Atom5,Model2,Data1,1,Fold1,0.0
RVA246,USERCREDLAT(3843),Atom5,Model2,Data1,1,Fold1,0.862
RVA247,USERCREDLAT(2510),Atom5,Model2,Data1,1,Fold1,1.0
RVA248,USERCREDLAT(3842),Atom5,Model2,Data1,1,Fold1,1.0
RVA249,USERCREDLAT(2511),Atom5,Model2,Data1,1,Fold1,1.0
RVA250,USERCREDLAT(3841),Atom5,Model2,Data1,1,Fold1,1.0
RVA251,USERCREDLAT(3840),Atom5,Model2,Data1,1,Fold1,0.0
RVA252,USERCREDLAT(2529),Atom5,Model2,Data1,1,Fold1,1.0
RVA253,USERCREDLAT(3859),Atom5,Model2,Data1,1,Fold1,0.0
RVA254,USERCREDLAT(2527),Atom5,Model2,Data1,1,Fold1,1.0
RVA255,USERCREDLAT(2528),Atom5,Model2,Data1,1,Fold1,0.0
RVA256,USERCREDLAT(3858),Atom5,Model2,Data1,1,Fold1,1.0
RVA257,USERCREDLAT(3857),Atom5,Model2,Data1,1,Fold1,0.0
RVA258,USERCREDLAT(2525),Atom5,Model2,Data1,1,Fold1,1.0
RVA259,USERCREDLAT(2526),Atom5,Model2,Data1,1,Fold1,0.212
RVA260,USERCREDLAT(3856),Atom5,Model2,Data1,1,Fold1,1.0
RVA261,USERCREDLAT(2523),Atom5,Model2,Data1,1,Fold1,0.0
RVA262,USERCREDLAT(3855),Atom5,Model2,Data1,1,Fold1,0.0
RVA263,USERCREDLAT(2524),Atom5,Model2,Data1,1,Fold1,0.0
RVA264,USERCREDLAT(3854),Atom5,Model2,Data1,1,Fold1,1.0
RVA265,USERCREDLAT(3853),Atom5,Model2,Data1,1,Fold1,0.713
RVA266,USERCREDLAT(2521),Atom5,Model2,Data1,1,Fold1,1.0
RVA267,USERCREDLAT(2522),Atom5,Model2,Data1,1,Fold1,0.0
RVA268,USERCREDLAT(3852),Atom5,Model2,Data1,1,Fold1,1.0
RVA269,USERCREDLAT(3851),Atom5,Model2,Data1,1,Fold1,1.0
RVA270,USERCREDLAT(2520),Atom5,Model2,Data1,1,Fold1,0.0
RVA271,USERCREDLAT(3850),Atom5,Model2,Data1,1,Fold1,1.0
RVA272,USERCREDLAT(1209),Atom5,Model2,Data1,1,Fold1,1.0
RVA273,USERCREDLAT(2538),Atom5,Model2,Data1,1,Fold1,0.0
RVA274,USERCREDLAT(1208),Atom5,Model2,Data1,1,Fold1,0.0
RVA275,USERCREDLAT(3869),Atom5,Model2,Data1,1,Fold1,0.017
RVA276,USERCREDLAT(2539),Atom5,Model2,Data1,1,Fold1,1.0
RVA277,USERCREDLAT(1205),Atom5,Model2,Data1,1,Fold1,0.0
RVA278,USERCREDLAT(3868),Atom5,Model2,Data1,1,Fold1,0.0
RVA279,USERCREDLAT(2536),Atom5,Model2,Data1,1,Fold1,1.0
RVA280,USERCREDLAT(1206),Atom5,Model2,Data1,1,Fold1,0.0
RVA281,USERCREDLAT(3867),Atom5,Model2,Data1,1,Fold1,0.889
RVA282,USERCREDLAT(2537),Atom5,Model2,Data1,1,Fold1,1.0
RVA283,USERCREDLAT(2534),Atom5,Model2,Data1,1,Fold1,0.0
RVA284,USERCREDLAT(1203),Atom5,Model2,Data1,1,Fold1,1.0
RVA285,USERCREDLAT(3866),Atom5,Model2,Data1,1,Fold1,1.0
RVA286,USERCREDLAT(3865),Atom5,Model2,Data1,1,Fold1,0.0
RVA287,USERCREDLAT(1204),Atom5,Model2,Data1,1,Fold1,1.0
RVA288,USERCREDLAT(2535),Atom5,Model2,Data1,1,Fold1,1.0
RVA289,USERCREDLAT(1201),Atom5,Model2,Data1,1,Fold1,0.0
RVA290,USERCREDLAT(2532),Atom5,Model2,Data1,1,Fold1,0.357
RVA291,USERCREDLAT(3864),Atom5,Model2,Data1,1,Fold1,1.0
RVA292,USERCREDLAT(2533),Atom5,Model2,Data1,1,Fold1,0.0
RVA293,USERCREDLAT(3863),Atom5,Model2,Data1,1,Fold1,0.0
RVA294,USERCREDLAT(1202),Atom5,Model2,Data1,1,Fold1,1.0
RVA295,USERCREDLAT(2530),Atom5,Model2,Data1,1,Fold1,0.0
RVA296,USERCREDLAT(3862),Atom5,Model2,Data1,1,Fold1,1.0
RVA297,USERCREDLAT(1200),Atom5,Model2,Data1,1,Fold1,0.713
RVA298,USERCREDLAT(3861),Atom5,Model2,Data1,1,Fold1,0.017
RVA299,USERCREDLAT(3860),Atom5,Model2,Data1,1,Fold1,0.0
RVA300,USERCREDLAT(2549),Atom5,Model2,Data1,1,Fold1,0.0
RVA301,USERCREDLAT(1218),Atom5,Model2,Data1,1,Fold1,1.0
RVA302,USERCREDLAT(13801),Atom5,Model2,Data1,1,Fold1,1.0
RVA303,USERCREDLAT(1219),Atom5,Model2,Data1,1,Fold1,0.033
RVA304,USERCREDLAT(13800),Atom5,Model2,Data1,1,Fold1,0.0
RVA305,USERCREDLAT(1216),Atom5,Model2,Data1,1,Fold1,0.0
RVA306,USERCREDLAT(2547),Atom5,Model2,Data1,1,Fold1,1.0
RVA307,USERCREDLAT(3879),Atom5,Model2,Data1,1,Fold1,0.0
RVA308,USERCREDLAT(1217),Atom5,Model2,Data1,1,Fold1,0.495
RVA309,USERCREDLAT(2548),Atom5,Model2,Data1,1,Fold1,0.0
RVA310,USERCREDLAT(3878),Atom5,Model2,Data1,1,Fold1,0.0
RVA311,USERCREDLAT(1214),Atom5,Model2,Data1,1,Fold1,0.0
RVA312,USERCREDLAT(2545),Atom5,Model2,Data1,1,Fold1,1.0
RVA313,USERCREDLAT(3877),Atom5,Model2,Data1,1,Fold1,1.0
RVA314,USERCREDLAT(3876),Atom5,Model2,Data1,1,Fold1,0.154
RVA315,USERCREDLAT(1215),Atom5,Model2,Data1,1,Fold1,1.0
RVA316,USERCREDLAT(2546),Atom5,Model2,Data1,1,Fold1,1.0
RVA317,USERCREDLAT(1212),Atom5,Model2,Data1,1,Fold1,0.0
RVA318,USERCREDLAT(2543),Atom5,Model2,Data1,1,Fold1,0.0
RVA319,USERCREDLAT(3875),Atom5,Model2,Data1,1,Fold1,0.0
RVA320,USERCREDLAT(1213),Atom5,Model2,Data1,1,Fold1,0.0
RVA321,USERCREDLAT(3874),Atom5,Model2,Data1,1,Fold1,0.0
RVA322,USERCREDLAT(2544),Atom5,Model2,Data1,1,Fold1,1.0
RVA323,USERCREDLAT(2541),Atom5,Model2,Data1,1,Fold1,0.0
RVA324,USERCREDLAT(3873),Atom5,Model2,Data1,1,Fold1,0.662
RVA325,USERCREDLAT(1210),Atom5,Model2,Data1,1,Fold1,1.0
RVA326,USERCREDLAT(1211),Atom5,Model2,Data1,1,Fold1,1.0
RVA327,USERCREDLAT(2542),Atom5,Model2,Data1,1,Fold1,1.0
RVA328,USERCREDLAT(3872),Atom5,Model2,Data1,1,Fold1,1.0
RVA329,USERCREDLAT(3871),Atom5,Model2,Data1,1,Fold1,0.0
RVA330,USERCREDLAT(3870),Atom5,Model2,Data1,1,Fold1,0.0
RVA331,USERCREDLAT(2540),Atom5,Model2,Data1,1,Fold1,1.0
RVA332,USERCREDLAT(13810),Atom5,Model2,Data1,1,Fold1,0.033
RVA333,USERCREDLAT(1229),Atom5,Model2,Data1,1,Fold1,0.0
RVA334,USERCREDLAT(13812),Atom5,Model2,Data1,1,Fold1,0.017
RVA335,USERCREDLAT(13811),Atom5,Model2,Data1,1,Fold1,1.0
RVA336,USERCREDLAT(2558),Atom5,Model2,Data1,1,Fold1,0.022
RVA337,USERCREDLAT(13803),Atom5,Model2,Data1,1,Fold1,0.0
RVA338,USERCREDLAT(1227),Atom5,Model2,Data1,1,Fold1,1.0
RVA339,USERCREDLAT(1228),Atom5,Model2,Data1,1,Fold1,0.0
RVA340,USERCREDLAT(3889),Atom5,Model2,Data1,1,Fold1,0.0
RVA341,USERCREDLAT(13802),Atom5,Model2,Data1,1,Fold1,0.0
RVA342,USERCREDLAT(2559),Atom5,Model2,Data1,1,Fold1,1.0
