AtomID,Argument,Position,Model,Dataset,Fold_number,fold_id
OBS66,InstArg15195,1,Model2,Data1,1,Fold1
OBS66,InstArg84,2,Model2,Data1,1,Fold1
OBS67,InstArg15195,1,Model2,Data1,1,Fold1
OBS68,InstArg15195,1,Model2,Data1,1,Fold1
OBS69,InstArg8356,1,Model2,Data1,1,Fold1
OBS69,InstArg79,2,Model2,Data1,1,Fold1
OBS70,InstArg8356,1,Model2,Data1,1,Fold1
OBS71,InstArg778,1,Model2,Data1,1,Fold1
OBS71,InstArg83,2,Model2,Data1,1,Fold1
OBS72,InstArg15182,1,Model2,Data1,1,Fold1
OBS72,InstArg82,2,Model2,Data1,1,Fold1
OBS73,InstArg8355,1,Model2,Data1,1,Fold1
OBS74,InstArg8355,1,Model2,Data1,1,Fold1
OBS74,InstArg84,2,Model2,Data1,1,Fold1
OBS75,InstArg5710,1,Model2,Data1,1,Fold1
OBS75,InstArg10,2,Model2,Data1,1,Fold1
OBS76,InstArg723,1,Model2,Data1,1,Fold1
OBS76,InstArg126,2,Model2,Data1,1,Fold1
OBS77,InstArg723,1,Model2,Data1,1,Fold1
OBS78,InstArg5710,1,Model2,Data1,1,Fold1
OBS78,InstArg98,2,Model2,Data1,1,Fold1
OBS79,InstArg15192,1,Model2,Data1,1,Fold1
OBS79,InstArg123,2,Model2,Data1,1,Fold1
OBS80,InstArg15196,1,Model2,Data1,1,Fold1
OBS81,InstArg15196,1,Model2,Data1,1,Fold1
OBS81,InstArg98,2,Model2,Data1,1,Fold1
OBS82,InstArg15196,1,Model2,Data1,1,Fold1
OBS83,InstArg8355,1,Model2,Data1,1,Fold1
OBS83,InstArg136,2,Model2,Data1,1,Fold1
OBS84,InstArg8356,1,Model2,Data1,1,Fold1
OBS84,InstArg134,2,Model2,Data1,1,Fold1
OBS85,InstArg15182,1,Model2,Data1,1,Fold1
OBS85,InstArg133,2,Model2,Data1,1,Fold1
OBS86,InstArg15197,1,Model2,Data1,1,Fold1
OBS87,InstArg15197,1,Model2,Data1,1,Fold1
OBS88,InstArg15197,1,Model2,Data1,1,Fold1
OBS88,InstArg84,2,Model2,Data1,1,Fold1
OBS89,InstArg15192,1,Model2,Data1,1,Fold1
OBS89,InstArg161,2,Model2,Data1,1,Fold1
OBS90,InstArg15198,1,Model2,Data1,1,Fold1
OBS91,InstArg15198,1,Model2,Data1,1,Fold1
OBS92,InstArg15198,1,Model2,Data1,1,Fold1
OBS92,InstArg169,2,Model2,Data1,1,Fold1
OBS93,InstArg15184,1,Model2,Data1,1,Fold1
OBS93,InstArg168,2,Model2,Data1,1,Fold1
OBS94,InstArg15197,1,Model2,Data1,1,Fold1
OBS94,InstArg156,2,Model2,Data1,1,Fold1
OBS95,InstArg15181,1,Model2,Data1,1,Fold1
OBS95,InstArg167,2,Model2,Data1,1,Fold1
OBS96,InstArg15199,1,Model2,Data1,1,Fold1
OBS97,InstArg15199,1,Model2,Data1,1,Fold1
OBS97,InstArg71,2,Model2,Data1,1,Fold1
OBS98,InstArg15199,1,Model2,Data1,1,Fold1
OBS99,InstArg15194,1,Model2,Data1,1,Fold1
OBS99,InstArg159,2,Model2,Data1,1,Fold1
OBS100,InstArg15192,1,Model2,Data1,1,Fold1
OBS100,InstArg47,2,Model2,Data1,1,Fold1
OBS101,InstArg15192,1,Model2,Data1,1,Fold1
OBS101,InstArg31,2,Model2,Data1,1,Fold1
OBS102,InstArg15182,1,Model2,Data1,1,Fold1
OBS102,InstArg167,2,Model2,Data1,1,Fold1
OBS103,InstArg15190,1,Model2,Data1,1,Fold1
OBS103,InstArg134,2,Model2,Data1,1,Fold1
OBS104,InstArg5710,1,Model2,Data1,1,Fold1
OBS104,InstArg123,2,Model2,Data1,1,Fold1
OBS105,InstArg15183,1,Model2,Data1,1,Fold1
OBS105,InstArg171,2,Model2,Data1,1,Fold1
OBS106,InstArg15192,1,Model2,Data1,1,Fold1
OBS106,InstArg166,2,Model2,Data1,1,Fold1
OBS107,InstArg15200,1,Model2,Data1,1,Fold1
OBS107,InstArg164,2,Model2,Data1,1,Fold1
OBS108,InstArg15200,1,Model2,Data1,1,Fold1
OBS109,InstArg15200,1,Model2,Data1,1,Fold1
OBS110,InstArg15201,1,Model2,Data1,1,Fold1
OBS111,InstArg15201,1,Model2,Data1,1,Fold1
OBS111,InstArg180,2,Model2,Data1,1,Fold1
OBS112,InstArg15201,1,Model2,Data1,1,Fold1
OBS113,InstArg5710,1,Model2,Data1,1,Fold1
OBS113,InstArg171,2,Model2,Data1,1,Fold1
OBS114,InstArg8368,1,Model2,Data1,1,Fold1
OBS115,InstArg8368,1,Model2,Data1,1,Fold1
OBS115,InstArg178,2,Model2,Data1,1,Fold1
OBS116,InstArg15187,1,Model2,Data1,1,Fold1
OBS116,InstArg171,2,Model2,Data1,1,Fold1
OBS117,InstArg15194,1,Model2,Data1,1,Fold1
OBS117,InstArg178,2,Model2,Data1,1,Fold1
OBS118,InstArg15202,1,Model2,Data1,1,Fold1
OBS119,InstArg15202,1,Model2,Data1,1,Fold1
OBS119,InstArg178,2,Model2,Data1,1,Fold1
OBS120,InstArg15202,1,Model2,Data1,1,Fold1
OBS121,InstArg15203,1,Model2,Data1,1,Fold1
OBS122,InstArg15203,1,Model2,Data1,1,Fold1
OBS123,InstArg15203,1,Model2,Data1,1,Fold1
OBS123,InstArg176,2,Model2,Data1,1,Fold1
OBS124,InstArg15187,1,Model2,Data1,1,Fold1
OBS124,InstArg176,2,Model2,Data1,1,Fold1
OBS125,InstArg15204,1,Model2,Data1,1,Fold1
OBS125,InstArg175,2,Model2,Data1,1,Fold1
OBS126,InstArg15204,1,Model2,Data1,1,Fold1
OBS127,InstArg15204,1,Model2,Data1,1,Fold1
OBS128,InstArg15181,1,Model2,Data1,1,Fold1
OBS128,InstArg170,2,Model2,Data1,1,Fold1
OBS129,InstArg15203,1,Model2,Data1,1,Fold1
OBS129,InstArg175,2,Model2,Data1,1,Fold1
OBS130,InstArg8356,1,Model2,Data1,1,Fold1
OBS130,InstArg178,2,Model2,Data1,1,Fold1
OBS131,InstArg15205,1,Model2,Data1,1,Fold1
OBS131,InstArg178,2,Model2,Data1,1,Fold1
OBS132,InstArg15205,1,Model2,Data1,1,Fold1
OBS133,InstArg15205,1,Model2,Data1,1,Fold1
OBS134,InstArg15182,1,Model2,Data1,1,Fold1
OBS134,InstArg177,2,Model2,Data1,1,Fold1
OBS135,InstArg15183,1,Model2,Data1,1,Fold1
OBS135,InstArg175,2,Model2,Data1,1,Fold1
OBS136,InstArg5710,1,Model2,Data1,1,Fold1
OBS136,InstArg175,2,Model2,Data1,1,Fold1
OBS137,InstArg15206,1,Model2,Data1,1,Fold1
OBS137,InstArg175,2,Model2,Data1,1,Fold1
OBS138,InstArg15206,1,Model2,Data1,1,Fold1
OBS139,InstArg15206,1,Model2,Data1,1,Fold1
OBS140,InstArg15207,1,Model2,Data1,1,Fold1
OBS141,InstArg15207,1,Model2,Data1,1,Fold1
OBS141,InstArg175,2,Model2,Data1,1,Fold1
OBS142,InstArg15207,1,Model2,Data1,1,Fold1
OBS143,InstArg15208,1,Model2,Data1,1,Fold1
OBS143,InstArg175,2,Model2,Data1,1,Fold1
OBS144,InstArg15208,1,Model2,Data1,1,Fold1
OBS145,InstArg15208,1,Model2,Data1,1,Fold1
OBS146,InstArg15184,1,Model2,Data1,1,Fold1
OBS146,InstArg187,2,Model2,Data1,1,Fold1
OBS147,InstArg15190,1,Model2,Data1,1,Fold1
OBS147,InstArg176,2,Model2,Data1,1,Fold1
OBS148,InstArg15190,1,Model2,Data1,1,Fold1
OBS148,InstArg175,2,Model2,Data1,1,Fold1
OBS149,InstArg15182,1,Model2,Data1,1,Fold1
OBS149,InstArg10967,2,Model2,Data1,1,Fold1
OBS150,InstArg15182,1,Model2,Data1,1,Fold1
OBS150,InstArg10968,2,Model2,Data1,1,Fold1
OBS151,InstArg15206,1,Model2,Data1,1,Fold1
OBS151,InstArg10963,2,Model2,Data1,1,Fold1
OBS152,InstArg15183,1,Model2,Data1,1,Fold1
OBS152,InstArg176,2,Model2,Data1,1,Fold1
OBS153,InstArg5710,1,Model2,Data1,1,Fold1
OBS153,InstArg10966,2,Model2,Data1,1,Fold1
OBS154,InstArg15192,1,Model2,Data1,1,Fold1
OBS154,InstArg10195,2,Model2,Data1,1,Fold1
OBS155,InstArg15196,1,Model2,Data1,1,Fold1
OBS155,InstArg10201,2,Model2,Data1,1,Fold1
OBS156,InstArg15209,1,Model2,Data1,1,Fold1
OBS156,InstArg10217,2,Model2,Data1,1,Fold1
OBS157,InstArg15209,1,Model2,Data1,1,Fold1
OBS158,InstArg15209,1,Model2,Data1,1,Fold1
OBS159,InstArg5710,1,Model2,Data1,1,Fold1
OBS159,InstArg10195,2,Model2,Data1,1,Fold1
OBS160,InstArg15192,1,Model2,Data1,1,Fold1
OBS160,InstArg10214,2,Model2,Data1,1,Fold1
OBS161,InstArg15192,1,Model2,Data1,1,Fold1
OBS161,InstArg10201,2,Model2,Data1,1,Fold1
OBS162,InstArg15182,1,Model2,Data1,1,Fold1
OBS162,InstArg10198,2,Model2,Data1,1,Fold1
OBS163,InstArg15192,1,Model2,Data1,1,Fold1
OBS163,InstArg10213,2,Model2,Data1,1,Fold1
OBS164,InstArg15192,1,Model2,Data1,1,Fold1
OBS164,InstArg10215,2,Model2,Data1,1,Fold1
OBS165,InstArg15196,1,Model2,Data1,1,Fold1
OBS165,InstArg10213,2,Model2,Data1,1,Fold1
OBS166,InstArg15210,1,Model2,Data1,1,Fold1
OBS166,InstArg10229,2,Model2,Data1,1,Fold1
OBS167,InstArg15210,1,Model2,Data1,1,Fold1
OBS168,InstArg15210,1,Model2,Data1,1,Fold1
OBS169,InstArg15191,1,Model2,Data1,1,Fold1
OBS169,InstArg10226,2,Model2,Data1,1,Fold1
OBS170,InstArg8378,1,Model2,Data1,1,Fold1
OBS171,InstArg8378,1,Model2,Data1,1,Fold1
OBS171,InstArg10226,2,Model2,Data1,1,Fold1
OBS172,InstArg15181,1,Model2,Data1,1,Fold1
OBS172,InstArg10219,2,Model2,Data1,1,Fold1
OBS173,InstArg8356,1,Model2,Data1,1,Fold1
OBS173,InstArg10226,2,Model2,Data1,1,Fold1
OBS174,InstArg773,1,Model2,Data1,1,Fold1
OBS175,InstArg773,1,Model2,Data1,1,Fold1
OBS175,InstArg10247,2,Model2,Data1,1,Fold1
OBS176,InstArg15209,1,Model2,Data1,1,Fold1
OBS176,InstArg10243,2,Model2,Data1,1,Fold1
OBS177,InstArg846,1,Model2,Data1,1,Fold1
OBS177,InstArg10245,2,Model2,Data1,1,Fold1
OBS178,InstArg846,1,Model2,Data1,1,Fold1
OBS179,InstArg15182,1,Model2,Data1,1,Fold1
OBS179,InstArg10250,2,Model2,Data1,1,Fold1
OBS180,InstArg15210,1,Model2,Data1,1,Fold1
OBS180,InstArg10292,2,Model2,Data1,1,Fold1
OBS181,InstArg15198,1,Model2,Data1,1,Fold1
OBS181,InstArg10283,2,Model2,Data1,1,Fold1
OBS182,InstArg15183,1,Model2,Data1,1,Fold1
OBS182,InstArg10287,2,Model2,Data1,1,Fold1
OBS183,InstArg15182,1,Model2,Data1,1,Fold1
OBS183,InstArg10285,2,Model2,Data1,1,Fold1
OBS184,InstArg15182,1,Model2,Data1,1,Fold1
OBS184,InstArg10290,2,Model2,Data1,1,Fold1
OBS185,InstArg778,1,Model2,Data1,1,Fold1
OBS185,InstArg10220,2,Model2,Data1,1,Fold1
OBS186,InstArg15182,1,Model2,Data1,1,Fold1
OBS186,InstArg10314,2,Model2,Data1,1,Fold1
OBS187,InstArg15198,1,Model2,Data1,1,Fold1
OBS187,InstArg10315,2,Model2,Data1,1,Fold1
OBS188,InstArg15192,1,Model2,Data1,1,Fold1
OBS188,InstArg10351,2,Model2,Data1,1,Fold1
OBS189,InstArg15183,1,Model2,Data1,1,Fold1
OBS189,InstArg10349,2,Model2,Data1,1,Fold1
OBS190,InstArg15205,1,Model2,Data1,1,Fold1
OBS190,InstArg10316,2,Model2,Data1,1,Fold1
OBS191,InstArg15206,1,Model2,Data1,1,Fold1
OBS191,InstArg10292,2,Model2,Data1,1,Fold1
OBS192,InstArg9558,1,Model2,Data1,1,Fold1
OBS192,InstArg10360,2,Model2,Data1,1,Fold1
OBS193,InstArg778,1,Model2,Data1,1,Fold1
OBS193,InstArg10356,2,Model2,Data1,1,Fold1
OBS194,InstArg773,1,Model2,Data1,1,Fold1
OBS194,InstArg10353,2,Model2,Data1,1,Fold1
OBS195,InstArg5710,1,Model2,Data1,1,Fold1
OBS195,InstArg10248,2,Model2,Data1,1,Fold1
OBS196,InstArg15190,1,Model2,Data1,1,Fold1
OBS196,InstArg10395,2,Model2,Data1,1,Fold1
OBS197,InstArg5710,1,Model2,Data1,1,Fold1
OBS197,InstArg10397,2,Model2,Data1,1,Fold1
OBS198,InstArg15194,1,Model2,Data1,1,Fold1
OBS198,InstArg10395,2,Model2,Data1,1,Fold1
OBS199,InstArg15190,1,Model2,Data1,1,Fold1
OBS199,InstArg10401,2,Model2,Data1,1,Fold1
OBS200,InstArg15192,1,Model2,Data1,1,Fold1
OBS200,InstArg10354,2,Model2,Data1,1,Fold1
OBS201,InstArg836,1,Model2,Data1,1,Fold1
OBS202,InstArg836,1,Model2,Data1,1,Fold1
OBS202,InstArg10394,2,Model2,Data1,1,Fold1
OBS203,InstArg15211,1,Model2,Data1,1,Fold1
OBS204,InstArg15211,1,Model2,Data1,1,Fold1
OBS204,InstArg10395,2,Model2,Data1,1,Fold1
OBS205,InstArg15211,1,Model2,Data1,1,Fold1
OBS206,InstArg15183,1,Model2,Data1,1,Fold1
OBS206,InstArg10426,2,Model2,Data1,1,Fold1
OBS207,InstArg15183,1,Model2,Data1,1,Fold1
OBS207,InstArg10398,2,Model2,Data1,1,Fold1
OBS208,InstArg15190,1,Model2,Data1,1,Fold1
OBS208,InstArg10400,2,Model2,Data1,1,Fold1
OBS209,InstArg15190,1,Model2,Data1,1,Fold1
OBS209,InstArg10424,2,Model2,Data1,1,Fold1
OBS210,InstArg8350,1,Model2,Data1,1,Fold1
OBS211,InstArg8350,1,Model2,Data1,1,Fold1
OBS211,InstArg10399,2,Model2,Data1,1,Fold1
OBS212,InstArg15209,1,Model2,Data1,1,Fold1
OBS212,InstArg10352,2,Model2,Data1,1,Fold1
OBS213,InstArg15182,1,Model2,Data1,1,Fold1
OBS213,InstArg10435,2,Model2,Data1,1,Fold1
OBS214,InstArg15190,1,Model2,Data1,1,Fold1
OBS214,InstArg10426,2,Model2,Data1,1,Fold1
OBS215,InstArg5710,1,Model2,Data1,1,Fold1
OBS215,InstArg10423,2,Model2,Data1,1,Fold1
OBS216,InstArg15182,1,Model2,Data1,1,Fold1
OBS216,InstArg10427,2,Model2,Data1,1,Fold1
OBS217,InstArg15183,1,Model2,Data1,1,Fold1
OBS217,InstArg10468,2,Model2,Data1,1,Fold1
OBS218,InstArg15212,1,Model2,Data1,1,Fold1
OBS219,InstArg15212,1,Model2,Data1,1,Fold1
OBS220,InstArg15212,1,Model2,Data1,1,Fold1
OBS220,InstArg10465,2,Model2,Data1,1,Fold1
OBS221,InstArg15190,1,Model2,Data1,1,Fold1
OBS221,InstArg10421,2,Model2,Data1,1,Fold1
OBS222,InstArg15182,1,Model2,Data1,1,Fold1
OBS222,InstArg10465,2,Model2,Data1,1,Fold1
OBS223,InstArg778,1,Model2,Data1,1,Fold1
OBS223,InstArg10466,2,Model2,Data1,1,Fold1
OBS224,InstArg778,1,Model2,Data1,1,Fold1
OBS224,InstArg10422,2,Model2,Data1,1,Fold1
OBS225,InstArg8350,1,Model2,Data1,1,Fold1
OBS225,InstArg10473,2,Model2,Data1,1,Fold1
OBS226,InstArg15182,1,Model2,Data1,1,Fold1
OBS226,InstArg10490,2,Model2,Data1,1,Fold1
OBS227,InstArg15192,1,Model2,Data1,1,Fold1
OBS227,InstArg10492,2,Model2,Data1,1,Fold1
OBS228,InstArg9557,1,Model2,Data1,1,Fold1
OBS229,InstArg9557,1,Model2,Data1,1,Fold1
OBS229,InstArg10491,2,Model2,Data1,1,Fold1
OBS230,InstArg15203,1,Model2,Data1,1,Fold1
OBS230,InstArg10499,2,Model2,Data1,1,Fold1
OBS231,InstArg724,1,Model2,Data1,1,Fold1
OBS232,InstArg724,1,Model2,Data1,1,Fold1
OBS232,InstArg10486,2,Model2,Data1,1,Fold1
OBS233,InstArg15185,1,Model2,Data1,1,Fold1
OBS233,InstArg10489,2,Model2,Data1,1,Fold1
OBS234,InstArg15191,1,Model2,Data1,1,Fold1
OBS234,InstArg10499,2,Model2,Data1,1,Fold1
OBS235,InstArg15184,1,Model2,Data1,1,Fold1
OBS235,InstArg10581,2,Model2,Data1,1,Fold1
OBS236,InstArg15182,1,Model2,Data1,1,Fold1
OBS236,InstArg10578,2,Model2,Data1,1,Fold1
OBS237,InstArg15194,1,Model2,Data1,1,Fold1
OBS237,InstArg10499,2,Model2,Data1,1,Fold1
OBS238,InstArg778,1,Model2,Data1,1,Fold1
OBS238,InstArg10577,2,Model2,Data1,1,Fold1
OBS239,InstArg15183,1,Model2,Data1,1,Fold1
OBS239,InstArg10608,2,Model2,Data1,1,Fold1
OBS240,InstArg15196,1,Model2,Data1,1,Fold1
OBS240,InstArg10584,2,Model2,Data1,1,Fold1
OBS241,InstArg15202,1,Model2,Data1,1,Fold1
OBS241,InstArg10644,2,Model2,Data1,1,Fold1
OBS242,InstArg9560,1,Model2,Data1,1,Fold1
OBS242,InstArg10593,2,Model2,Data1,1,Fold1
OBS243,InstArg9560,1,Model2,Data1,1,Fold1
OBS244,InstArg15184,1,Model2,Data1,1,Fold1
OBS244,InstArg10644,2,Model2,Data1,1,Fold1
OBS245,InstArg15209,1,Model2,Data1,1,Fold1
OBS245,InstArg10644,2,Model2,Data1,1,Fold1
OBS246,InstArg15183,1,Model2,Data1,1,Fold1
OBS246,InstArg10607,2,Model2,Data1,1,Fold1
OBS247,InstArg15196,1,Model2,Data1,1,Fold1
OBS247,InstArg10618,2,Model2,Data1,1,Fold1
OBS248,InstArg15187,1,Model2,Data1,1,Fold1
OBS248,InstArg10616,2,Model2,Data1,1,Fold1
OBS249,InstArg724,1,Model2,Data1,1,Fold1
OBS249,InstArg10350,2,Model2,Data1,1,Fold1
OBS250,InstArg15182,1,Model2,Data1,1,Fold1
OBS250,InstArg10643,2,Model2,Data1,1,Fold1
OBS251,InstArg15183,1,Model2,Data1,1,Fold1
OBS251,InstArg10644,2,Model2,Data1,1,Fold1
OBS252,InstArg15192,1,Model2,Data1,1,Fold1
OBS252,InstArg10644,2,Model2,Data1,1,Fold1
OBS253,InstArg15189,1,Model2,Data1,1,Fold1
OBS253,InstArg10638,2,Model2,Data1,1,Fold1
OBS254,InstArg15182,1,Model2,Data1,1,Fold1
OBS254,InstArg10642,2,Model2,Data1,1,Fold1
OBS255,InstArg9558,1,Model2,Data1,1,Fold1
OBS255,InstArg10612,2,Model2,Data1,1,Fold1
OBS256,InstArg15185,1,Model2,Data1,1,Fold1
OBS256,InstArg10641,2,Model2,Data1,1,Fold1
OBS257,InstArg15182,1,Model2,Data1,1,Fold1
OBS257,InstArg9751,2,Model2,Data1,1,Fold1
OBS258,InstArg15213,1,Model2,Data1,1,Fold1
OBS259,InstArg15213,1,Model2,Data1,1,Fold1
OBS260,InstArg15213,1,Model2,Data1,1,Fold1
OBS260,InstArg9758,2,Model2,Data1,1,Fold1
OBS261,InstArg15199,1,Model2,Data1,1,Fold1
OBS261,InstArg9731,2,Model2,Data1,1,Fold1
OBS262,InstArg15187,1,Model2,Data1,1,Fold1
OBS262,InstArg10590,2,Model2,Data1,1,Fold1
OBS263,InstArg15183,1,Model2,Data1,1,Fold1
OBS263,InstArg9756,2,Model2,Data1,1,Fold1
OBS264,InstArg15192,1,Model2,Data1,1,Fold1
OBS264,InstArg9754,2,Model2,Data1,1,Fold1
OBS265,InstArg844,1,Model2,Data1,1,Fold1
OBS266,InstArg844,1,Model2,Data1,1,Fold1
OBS266,InstArg9781,2,Model2,Data1,1,Fold1
OBS267,InstArg15190,1,Model2,Data1,1,Fold1
OBS267,InstArg9785,2,Model2,Data1,1,Fold1
OBS268,InstArg845,1,Model2,Data1,1,Fold1
OBS269,InstArg845,1,Model2,Data1,1,Fold1
OBS269,InstArg10491,2,Model2,Data1,1,Fold1
OBS270,InstArg15194,1,Model2,Data1,1,Fold1
OBS270,InstArg9786,2,Model2,Data1,1,Fold1
OBS271,InstArg9557,1,Model2,Data1,1,Fold1
OBS271,InstArg10493,2,Model2,Data1,1,Fold1
OBS272,InstArg15186,1,Model2,Data1,1,Fold1
OBS272,InstArg9820,2,Model2,Data1,1,Fold1
OBS273,InstArg5710,1,Model2,Data1,1,Fold1
OBS273,InstArg9789,2,Model2,Data1,1,Fold1
OBS274,InstArg15205,1,Model2,Data1,1,Fold1
OBS274,InstArg9821,2,Model2,Data1,1,Fold1
OBS275,InstArg15199,1,Model2,Data1,1,Fold1
OBS275,InstArg9827,2,Model2,Data1,1,Fold1
OBS276,InstArg15213,1,Model2,Data1,1,Fold1
OBS276,InstArg9831,2,Model2,Data1,1,Fold1
OBS277,InstArg15181,1,Model2,Data1,1,Fold1
OBS277,InstArg9828,2,Model2,Data1,1,Fold1
OBS278,InstArg15182,1,Model2,Data1,1,Fold1
OBS278,InstArg9822,2,Model2,Data1,1,Fold1
OBS279,InstArg9560,1,Model2,Data1,1,Fold1
OBS279,InstArg9755,2,Model2,Data1,1,Fold1
OBS280,InstArg15183,1,Model2,Data1,1,Fold1
OBS280,InstArg9735,2,Model2,Data1,1,Fold1
OBS281,InstArg15187,1,Model2,Data1,1,Fold1
OBS281,InstArg10639,2,Model2,Data1,1,Fold1
OBS282,InstArg15181,1,Model2,Data1,1,Fold1
OBS282,InstArg9825,2,Model2,Data1,1,Fold1
OBS283,InstArg15190,1,Model2,Data1,1,Fold1
OBS283,InstArg9824,2,Model2,Data1,1,Fold1
OBS284,InstArg15202,1,Model2,Data1,1,Fold1
